항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,661,192,184,10,277,,"2,772", 
  당기순이익(지배)＜당기＞,25.2,9.3,10.6,0.6,16.5,, , 
  보통주수정평균발행주식수＜당기＞,"3,679,695","4,817,064","5,778,649","5,833,427","5,952,206","6,017,989", , 
  우선주수정평균발행주식수＜당기＞,"127,518",0,0,0,0,0, , 
펼치기 BPS,"2,173","3,802","3,968","3,961","4,253",,7, 
  자본총계(지배)＜당기＞,91.3,215.3,229.9,234.9,255.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,199,967","5,662,567","5,794,561","5,930,038","6,017,989","6,017,989", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,321,23,427,356,512,,44, 
  영업활동현금흐름＜당기＞,12.2,1.1,24.7,20.7,30.5,, , 
  보통주수정평균발행주식수＜당기＞,"3,679,695","4,817,064","5,778,649","5,833,427","5,952,206","6,017,989", , 
  우선주수정평균발행주식수＜당기＞,"127,518",0,0,0,0,0, , 
펼치기 SPS,"2,975","2,505","2,242","1,772","1,792",,1, 
  매출액＜당기＞,113.3,120.7,129.5,103.4,106.7,, , 
  보통주수정평균발행주식수＜당기＞,"3,679,695","4,817,064","5,778,649","5,833,427","5,952,206","6,017,989", , 
  우선주수정평균발행주식수＜당기＞,"127,518",0,0,0,0,0, , 
펼치기 PER,,46.82,33.16,646.49,23.63,,-96.34, 
  보통주수정주가(기말)＜당기＞,,"9,000","6,110","6,240","6,550","5,760", , 
  EPS＜당기＞,661,192,184,10,277,, , 
펼치기 PBR,0.00,2.37,1.54,1.58,1.54,,-2.24, 
  보통주수정주가(기말)＜당기＞,,"9,000","6,110","6,240","6,550","5,760", , 
  BPS＜당기＞,"2,173","3,802","3,968","3,961","4,253",, , 
펼치기 PCR,,387.68,14.31,17.55,12.78,,-27.16, 
  보통주수정주가(기말)＜당기＞,,"9,000","6,110","6,240","6,550","5,760", , 
  CPS＜당기＞,321,23,427,356,512,, , 
펼치기 PSR,,3.59,2.73,3.52,3.65,,3.81, 
  보통주수정주가(기말)＜당기＞,,"9,000","6,110","6,240","6,550","5,760", , 
  SPS＜당기＞,"2,975","2,505","2,242","1,772","1,792",, , 
펼치기 EV/EBITDA,,25.67,15.26,83.09,8.92,,-89.26, 
  EV＜당기＞,,384.6,206.3,195.8,190.4,, , 
  EBITDA＜당기＞,31.7,15.0,13.5,2.4,21.3,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
