항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,911,"1,382","1,601",19,532,,"2,638", 
  당기순이익(지배)＜당기＞,58.0,88.0,102.0,1.2,33.9,, , 
  보통주수정평균발행주식수＜당기＞,"6,370,000","6,370,000","6,370,000","6,370,000","6,370,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"25,577","26,363","27,550","27,245","28,185",,3, 
  자본총계(지배)＜당기＞,"1,561.0","1,609.0","1,681.5","1,662.9","1,720.2",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,103,342","6,103,342","6,103,342","6,103,342","6,103,342",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,800,"2,002","2,075","1,477","2,032",,38, 
  영업활동현금흐름＜당기＞,51.0,127.6,132.2,94.1,129.4,, , 
  보통주수정평균발행주식수＜당기＞,"6,370,000","6,370,000","6,370,000","6,370,000","6,370,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"9,701","10,510","11,234","8,423","8,582",,2, 
  매출액＜당기＞,617.9,669.5,715.6,536.5,546.7,, , 
  보통주수정평균발행주식수＜당기＞,"6,370,000","6,370,000","6,370,000","6,370,000","6,370,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,17.73,11.44,9.96,851.21,36.34,,-95.73, 
  보통주수정주가(기말)＜당기＞,"16,150","15,800","15,950","16,550","19,350","17,700", , 
  EPS＜당기＞,911,"1,382","1,601",19,532,, , 
펼치기 PBR,0.63,0.60,0.58,0.61,0.69,,13.02, 
  보통주수정주가(기말)＜당기＞,"16,150","15,800","15,950","16,550","19,350","17,700", , 
  BPS＜당기＞,"25,577","26,363","27,550","27,245","28,185",, , 
펼치기 PCR,20.19,7.89,7.69,11.21,9.52,,-15.01, 
  보통주수정주가(기말)＜당기＞,"16,150","15,800","15,950","16,550","19,350","17,700", , 
  CPS＜당기＞,800,"2,002","2,075","1,477","2,032",, , 
펼치기 PSR,1.66,1.50,1.42,1.96,2.25,,14.75, 
  보통주수정주가(기말)＜당기＞,"16,150","15,800","15,950","16,550","19,350","17,700", , 
  SPS＜당기＞,"9,701","10,510","11,234","8,423","8,582",, , 
펼치기 EV/EBITDA,5.49,4.59,4.14,6.22,7.78,,25.11, 
  EV＜당기＞,554.7,546.6,604.8,486.2,758.0,, , 
  EBITDA＜당기＞,101.0,119.0,146.0,78.2,97.5,, , 
펼치기 DPS,250,250,300,300,250,,-17, 
  현금DPS,250,250,300,300,250,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.55,1.58,1.88,1.81,1.29,,-0.52, 
  현금배당성향(%),26.30,17.34,17.96,"1,478.38",44.99,,"-1,433.39", 
