항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-71,27,14,103,117,,14, 
  당기순이익(지배)＜당기＞,-27.0,11.1,6.0,42.8,48.7,, , 
  보통주수정평균발행주식수＜당기＞,"38,086,390","40,666,664","41,486,390","41,486,390","41,486,390","41,486,390", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,631,633,638,735,873,,19, 
  자본총계(지배)＜당기＞,236.5,258.6,260.5,300.5,362.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"37,465,846","40,865,846","40,865,846","40,865,846","41,486,390","41,486,390", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,24,-70,61,196,153,,-22, 
  영업활동현금흐름＜당기＞,9.1,-28.5,25.5,81.2,63.6,, , 
  보통주수정평균발행주식수＜당기＞,"38,086,390","40,666,664","41,486,390","41,486,390","41,486,390","41,486,390", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,865,681,705,882,956,,8, 
  매출액＜당기＞,329.3,277.1,292.3,366.0,396.6,, , 
  보통주수정평균발행주식수＜당기＞,"38,086,390","40,666,664","41,486,390","41,486,390","41,486,390","41,486,390", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,49.27,101.86,18.94,13.04,,-31.13, 
  보통주수정주가(기말)＜당기＞,"1,161","1,339","1,462","1,955","1,530","1,685", , 
  EPS＜당기＞,-71,27,14,103,117,, , 
펼치기 PBR,1.84,2.12,2.29,2.66,1.75,,-34.08, 
  보통주수정주가(기말)＜당기＞,"1,161","1,339","1,462","1,955","1,530","1,685", , 
  BPS＜당기＞,631,633,638,735,873,, , 
펼치기 PCR,48.46,-19.13,23.81,9.99,9.99,,0.03, 
  보통주수정주가(기말)＜당기＞,"1,161","1,339","1,462","1,955","1,530","1,685", , 
  CPS＜당기＞,24,-70,61,196,153,, , 
펼치기 PSR,1.34,1.97,2.07,2.22,1.60,,-27.77, 
  보통주수정주가(기말)＜당기＞,"1,161","1,339","1,462","1,955","1,530","1,685", , 
  SPS＜당기＞,865,681,705,882,956,, , 
펼치기 EV/EBITDA,16.37,30.89,35.66,11.14,6.91,,-37.93, 
  EV＜당기＞,403.8,542.0,572.2,706.5,452.1,, , 
  EBITDA＜당기＞,24.7,17.5,16.0,63.4,65.4,, , 
펼치기 DPS,6,5,5,15,15,,0, 
  현금DPS,6,5,5,15,15,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.52,0.37,0.34,0.77,0.98,,0.21, 
  현금배당성향(%),-8.18,18.21,33.80,14.10,12.79,,-1.31, 
