항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,539,293,283,"-1,277",211,,117, 
  당기순이익(지배)＜당기＞,34.3,18.6,19.3,-116.6,19.3,, , 
  보통주수정평균발행주식수＜당기＞,"6,365,710","6,365,710","6,836,440","9,136,944","9,136,944","9,607,884", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"7,941","8,395","7,874","6,539","6,752",,3, 
  자본총계(지배)＜당기＞,505.5,534.4,719.5,597.4,617.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,365,710","6,365,710","9,136,944","9,136,944","9,136,944","9,758,523", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,103","-1,010",-759,655,-358,,-155, 
  영업활동현금흐름＜당기＞,70.2,-64.3,-51.9,59.8,-32.7,, , 
  보통주수정평균발행주식수＜당기＞,"6,365,710","6,365,710","6,836,440","9,136,944","9,136,944","9,607,884", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"8,117","7,004","10,774","5,730","6,612",,15, 
  매출액＜당기＞,516.7,445.9,736.6,523.5,604.1,, , 
  보통주수정평균발행주식수＜당기＞,"6,365,710","6,365,710","6,836,440","9,136,944","9,136,944","9,607,884", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,11.67,20.90,37.45,N/A,39.39,,648.33, 
  보통주수정주가(기말)＜당기＞,"6,290","6,120","10,600","9,170","8,320","9,780", , 
  EPS＜당기＞,539,293,283,"-1,277",211,, , 
펼치기 PBR,0.79,0.73,1.35,1.40,1.23,,-12.14, 
  보통주수정주가(기말)＜당기＞,"6,290","6,120","10,600","9,170","8,320","9,780", , 
  BPS＜당기＞,"7,941","8,395","7,874","6,539","6,752",, , 
펼치기 PCR,5.71,-6.06,-13.96,14.00,-23.24,,-265.97, 
  보통주수정주가(기말)＜당기＞,"6,290","6,120","10,600","9,170","8,320","9,780", , 
  CPS＜당기＞,"1,103","-1,010",-759,655,-358,, , 
펼치기 PSR,0.77,0.87,0.98,1.60,1.26,,-21.37, 
  보통주수정주가(기말)＜당기＞,"6,290","6,120","10,600","9,170","8,320","9,780", , 
  SPS＜당기＞,"8,117","7,004","10,774","5,730","6,612",, , 
펼치기 EV/EBITDA,5.95,17.37,21.92,-24.92,16.00,,164.20, 
  EV＜당기＞,216.5,304.0,814.8,589.2,528.8,, , 
  EBITDA＜당기＞,36.4,17.5,37.2,-23.6,33.1,, , 
펼치기 DPS,150,100,50,0,0,, , 
  현금DPS,150,100,50,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,2.38,1.63,0.47,0.00,0.00,,0.00, 
  현금배당성향(%),27.82,34.15,23.61,0.00,,, , 
