항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-149,-172,1,-574,666,134,216,-80
  당기순이익(지배)＜당기＞,-84.9,-103.8,0.5,-346.8,402.5,80.7, , 
  보통주수정평균발행주식수＜당기＞,"56,955,268","60,399,706","60,399,706","60,399,705","60,399,705","60,399,705", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"11,052","10,899","11,398","10,758","11,460","11,621",7,1
  자본총계(지배)＜당기＞,"6,658.7","6,484.3","6,724.0","6,259.4","6,667.4","6,761.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"60,247,766","59,495,317","58,992,069","58,183,633","58,179,498","58,179,478", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,173,596,622,-159,137,437,186,220
  영업활동현금흐름＜당기＞,98.7,359.8,376.0,-96.0,82.6,-589.0, , 
  보통주수정평균발행주식수＜당기＞,"56,955,268","60,399,706","60,399,706","60,399,705","60,399,705","60,399,705", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,010","1,790","2,118","1,403","1,602","2,079",14,30
  매출액＜당기＞,575.4,"1,081.0","1,279.4",847.6,967.3,"1,255.7", , 
  보통주수정평균발행주식수＜당기＞,"56,955,268","60,399,706","60,399,706","60,399,705","60,399,705","60,399,705", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,"10,755.18",N/A,13.42,73.75,203.84,449.73
  보통주수정주가(기말)＜당기＞,"11,280","8,241","8,386","7,419","8,940","9,850", , 
  EPS＜당기＞,-149,-172,1,-574,666,134, , 
펼치기 PBR,1.02,0.76,0.74,0.69,0.78,0.85,13.13,8.65
  보통주수정주가(기말)＜당기＞,"11,280","8,241","8,386","7,419","8,940","9,850", , 
  BPS＜당기＞,"11,052","10,899","11,398","10,758","11,460","11,621", , 
펼치기 PCR,65.09,13.84,13.47,-46.65,65.38,22.54,240.13,-65.53
  보통주수정주가(기말)＜당기＞,"11,280","8,241","8,386","7,419","8,940","9,850", , 
  CPS＜당기＞,173,596,622,-159,137,437, , 
펼치기 PSR,11.16,4.60,3.96,5.29,5.58,4.74,5.59,-15.12
  보통주수정주가(기말)＜당기＞,"11,280","8,241","8,386","7,419","8,940","9,850", , 
  SPS＜당기＞,"1,010","1,790","2,118","1,403","1,602","2,079", , 
펼치기 EV/EBITDA,-363.28,60.38,35.38,-351.67,111.86,30.11,131.81,-73.08
  EV＜당기＞,"13,000.3","11,291.5","11,911.2","11,862.0","11,856.7","11,282.4", , 
  EBITDA＜당기＞,-35.8,187.0,336.7,-33.7,106.0,374.7, , 
펼치기 DPS,39,30,23,58,59,,2, 
  현금DPS,0,0,0,48,49,, , 
  주식DPS,39,30,23,10,10,, , 
  현금배당수익률,0.00,0.00,0.00,0.65,0.55,0.61,-0.10,0.06
  현금배당성향(%),0.00,0.00,0.00,-8.06,7.09,44.92,15.15,37.84
