항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,275,443,604,632,"1,210",,92, 
  당기순이익(지배)＜당기＞,40.4,62.0,85.1,98.6,188.9,, , 
  보통주수정평균발행주식수＜당기＞,"14,690,000","14,004,795","14,086,164","15,610,000","15,610,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"1,696","2,021","3,280","3,747","4,766",,27, 
  자본총계(지배)＜당기＞,249.2,232.3,512.0,584.9,744.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"14,690,000","11,490,000","15,610,000","15,610,000","15,610,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-78,595,-110,-378,89,,124, 
  영업활동현금흐름＜당기＞,-11.5,83.3,-15.5,-59.0,13.9,, , 
  보통주수정평균발행주식수＜당기＞,"14,690,000","14,004,795","14,086,164","15,610,000","15,610,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,581,"1,061","1,200","1,193","1,758",,47, 
  매출액＜당기＞,85.3,148.6,169.1,186.3,274.4,, , 
  보통주수정평균발행주식수＜당기＞,"14,690,000","14,004,795","14,086,164","15,610,000","15,610,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,,,12.86,10.72,6.58,,-38.62, 
  보통주수정주가(기말)＜당기＞,,,"7,770","6,770","7,960","9,170", , 
  EPS＜당기＞,275,443,604,632,"1,210",, , 
펼치기 PBR,0.00,0.00,2.37,1.81,1.67,,-7.57, 
  보통주수정주가(기말)＜당기＞,,,"7,770","6,770","7,960","9,170", , 
  BPS＜당기＞,"1,696","2,021","3,280","3,747","4,766",, , 
펼치기 PCR,,,-70.48,-17.91,89.28,,598.55, 
  보통주수정주가(기말)＜당기＞,,,"7,770","6,770","7,960","9,170", , 
  CPS＜당기＞,-78,595,-110,-378,89,, , 
펼치기 PSR,,,6.47,5.67,4.53,,-20.19, 
  보통주수정주가(기말)＜당기＞,,,"7,770","6,770","7,960","9,170", , 
  SPS＜당기＞,581,"1,061","1,200","1,193","1,758",, , 
펼치기 EV/EBITDA,,,10.23,7.80,5.69,,-27.00, 
  EV＜당기＞,,,"1,138.3","1,025.0","1,229.8",, , 
  EBITDA＜당기＞,52.7,82.1,111.2,131.5,216.1,, , 
펼치기 DPS,0,0,160,190,250,,32, 
  현금DPS,0,0,160,190,250,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,2.06,2.81,3.14,,0.33, 
  현금배당성향(%),0.00,0.00,29.34,30.08,20.66,,-9.42, 
