항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-241,-995,"-3,082","-1,385","-1,347",,3, 
  당기순이익(지배)＜당기＞,-10.3,-65.1,-224.3,-104.5,-111.1,, , 
  보통주수정평균발행주식수＜당기＞,"4,254,460","5,162,680","5,162,680","5,162,680","7,702,357","9,487,203", , 
  우선주수정평균발행주식수＜당기＞,"41,500","1,376,940","2,115,820","2,383,240","548,472",0, , 
펼치기 BPS,300,-683,"-3,355","-4,515","11,108",,346, 
  자본총계(지배)＜당기＞,19.6,-44.7,-253.2,-340.7,"1,048.9",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,162,680","5,162,680","5,162,680","5,162,680","9,442,220","9,503,030", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"1,376,940","1,376,940","2,383,240","2,383,240",0,0, , 
펼치기 CPS,-191,-194,-406,"-1,086",-964,,11, 
  영업활동현금흐름＜당기＞,-8.2,-12.7,-29.6,-81.9,-79.5,, , 
  보통주수정평균발행주식수＜당기＞,"4,254,460","5,162,680","5,162,680","5,162,680","7,702,357","9,487,203", , 
  우선주수정평균발행주식수＜당기＞,"41,500","1,376,940","2,115,820","2,383,240","548,472",0, , 
펼치기 SPS,0,5,2,0,0,, , 
  매출액＜당기＞,,0.3,0.2,,,, , 
  보통주수정평균발행주식수＜당기＞,"4,254,460","5,162,680","5,162,680","5,162,680","7,702,357","9,487,203", , 
  우선주수정평균발행주식수＜당기＞,"41,500","1,376,940","2,115,820","2,383,240","548,472",0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"36,850","20,700", , 
  EPS＜당기＞,-241,-995,"-3,082","-1,385","-1,347",, , 
펼치기 PBR,0.00,0.00,0.00,0.00,3.32,, , 
  보통주수정주가(기말)＜당기＞,,,,,"36,850","20,700", , 
  BPS＜당기＞,300,-683,"-3,355","-4,515","11,108",, , 
펼치기 PCR,,,,,-38.22,, , 
  보통주수정주가(기말)＜당기＞,,,,,"36,850","20,700", , 
  CPS＜당기＞,-191,-194,-406,"-1,086",-964,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"36,850","20,700", , 
  SPS＜당기＞,0,5,2,0,0,, , 
펼치기 EV/EBITDA,,,,,-25.56,, , 
  EV＜당기＞,,,,,"2,918.5",, , 
  EBITDA＜당기＞,-8.6,-12.3,-47.6,-70.3,-114.2,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,,0.00,, , 
  현금배당성향(%),,,,0.00,,, , 
