항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,180,49,209,41,578,, , 
  당기순이익(지배)＜당기＞,42.4,12.1,55.4,10.8,153.8,, , 
  보통주수정평균발행주식수＜당기＞,"22,706,300","23,493,534","26,279,875","26,636,713","26,636,713","26,636,713", , 
  우선주수정평균발행주식수＜당기＞,"815,549","1,314,863","249,658",0,0,0, , 
펼치기 BPS,746,"1,257","1,588","1,630","2,234",, , 
  자본총계(지배)＜당기＞,180.6,316.4,406.6,417.4,572.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"22,706,300","24,159,704","25,606,882","25,606,882","25,606,882",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"1,518,750","1,012,500",0,0,0,, , 
펼치기 CPS,14,220,280,209,307,, , 
  영업활동현금흐름＜당기＞,3.4,54.6,74.3,55.6,81.7,, , 
  보통주수정평균발행주식수＜당기＞,"22,706,300","23,493,534","26,279,875","26,636,713","26,636,713","26,636,713", , 
  우선주수정평균발행주식수＜당기＞,"815,549","1,314,863","249,658",0,0,0, , 
펼치기 SPS,"2,774","2,995","2,992","2,181","3,374",, , 
  매출액＜당기＞,652.5,743.1,793.8,580.9,898.8,, , 
  보통주수정평균발행주식수＜당기＞,"22,706,300","23,493,534","26,279,875","26,636,713","26,636,713","26,636,713", , 
  우선주수정평균발행주식수＜당기＞,"815,549","1,314,863","249,658",0,0,0, , 
펼치기 PER,,27.46,6.10,33.16,3.00,, , 
  보통주수정주가(기말)＜당기＞,,"1,340","1,275","1,350","1,735","1,980", , 
  EPS＜당기＞,180,49,209,41,578,, , 
펼치기 PBR,,1.07,0.80,0.83,0.78,, , 
  보통주수정주가(기말)＜당기＞,,"1,340","1,275","1,350","1,735","1,980", , 
  BPS＜당기＞,746,"1,257","1,588","1,630","2,234",, , 
펼치기 PCR,,6.09,4.55,6.46,5.66,, , 
  보통주수정주가(기말)＜당기＞,,"1,340","1,275","1,350","1,735","1,980", , 
  CPS＜당기＞,14,220,280,209,307,, , 
펼치기 PSR,,0.45,0.43,0.62,0.51,, , 
  보통주수정주가(기말)＜당기＞,,"1,340","1,275","1,350","1,735","1,980", , 
  SPS＜당기＞,"2,774","2,995","2,992","2,181","3,374",, , 
펼치기 EV/EBITDA,,5.23,2.65,8.09,3.79,, , 
  EV＜당기＞,,291.2,259.1,351.5,349.5,, , 
  EBITDA＜당기＞,57.4,55.7,98.0,43.5,92.3,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
