항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,81,-181,-114,"-2,453","-1,064",, , 
  당기순이익(지배)＜당기＞,26.0,-66.3,-60.5,"-1,795.1",-867.0,, , 
  보통주수정평균발행주식수＜당기＞,"32,188,175","36,591,973","53,211,423","73,169,286","81,458,479","114,102,848", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,538,495,442,"1,435",201,, , 
  자본총계(지배)＜당기＞,173.2,261.4,247.1,"1,129.7",166.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"32,188,175","52,788,688","55,950,318","78,724,637","82,919,739","132,919,739", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,149,39,-80,103,-75,, , 
  영업활동현금흐름＜당기＞,47.9,14.4,-42.6,75.5,-60.8,, , 
  보통주수정평균발행주식수＜당기＞,"32,188,175","36,591,973","53,211,423","73,169,286","81,458,479","114,102,848", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,243","1,186","1,184",839,523,, , 
  매출액＜당기＞,400.2,433.9,630.0,614.1,426.1,, , 
  보통주수정평균발행주식수＜당기＞,"32,188,175","36,591,973","53,211,423","73,169,286","81,458,479","114,102,848", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,10.26,N/A,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,828,"1,492","1,535","5,130","3,890","3,890", , 
  EPS＜당기＞,81,-181,-114,"-2,453","-1,064",, , 
펼치기 PBR,1.54,3.01,3.48,3.58,19.32,, , 
  보통주수정주가(기말)＜당기＞,828,"1,492","1,535","5,130","3,890","3,890", , 
  BPS＜당기＞,538,495,442,"1,435",201,, , 
펼치기 PCR,5.56,37.94,-19.18,49.70,-52.08,, , 
  보통주수정주가(기말)＜당기＞,828,"1,492","1,535","5,130","3,890","3,890", , 
  CPS＜당기＞,149,39,-80,103,-75,, , 
펼치기 PSR,0.67,1.26,1.30,6.11,7.44,, , 
  보통주수정주가(기말)＜당기＞,828,"1,492","1,535","5,130","3,890","3,890", , 
  SPS＜당기＞,"1,243","1,186","1,184",839,523,, , 
펼치기 EV/EBITDA,5.69,15.69,15.86,-58.18,83.77,, , 
  EV＜당기＞,201.0,631.5,782.1,"4,078.6","3,188.9",, , 
  EBITDA＜당기＞,35.3,40.2,49.3,-70.1,38.1,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
