항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,127,87,91,156,430,565,175,31
  당기순이익(지배)＜당기＞,28.6,21.1,22.2,37.9,104.3,137.0, , 
  보통주수정평균발행주식수＜당기＞,"22,513,725","24,268,402","24,268,402","24,268,402","24,268,402",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"3,385","3,452","4,040","4,176","5,970","6,436",43,8
  자본총계(지배)＜당기＞,821.5,837.8,980.4,"1,013.5","1,448.9","1,562.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"24,268,402","24,268,402","24,268,402","24,268,402","24,268,402",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-69,136,148,299,305,645,2,111
  영업활동현금흐름＜당기＞,-15.6,33.0,35.8,72.6,74.1,70.5, , 
  보통주수정평균발행주식수＜당기＞,"22,513,725","24,268,402","24,268,402","24,268,402","24,268,402",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"5,228","5,013","5,407","5,465","7,810","9,041",43,16
  매출액＜당기＞,"1,176.9","1,216.7","1,312.2","1,326.2","1,895.4","2,194.0", , 
  보통주수정평균발행주식수＜당기＞,"22,513,725","24,268,402","24,268,402","24,268,402","24,268,402",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,13.86,33.30,25.70,20.21,10.33,9.80,-48.90,-5.17
  보통주수정주가(기말)＜당기＞,"1,760","2,890","2,350","3,160","4,440","5,530", , 
  EPS＜당기＞,127,87,91,156,430,565, , 
펼치기 PBR,0.52,0.84,0.58,0.76,0.74,0.86,-1.71,15.53
  보통주수정주가(기말)＜당기＞,"1,760","2,890","2,350","3,160","4,440","5,530", , 
  BPS＜당기＞,"3,385","3,452","4,040","4,176","5,970","6,436", , 
펼치기 PCR,-25.38,21.22,15.92,10.56,14.54,8.58,37.70,-41.02
  보통주수정주가(기말)＜당기＞,"1,760","2,890","2,350","3,160","4,440","5,530", , 
  CPS＜당기＞,-69,136,148,299,305,645, , 
펼치기 PSR,0.34,0.58,0.43,0.58,0.57,0.61,-1.69,7.60
  보통주수정주가(기말)＜당기＞,"1,760","2,890","2,350","3,160","4,440","5,530", , 
  SPS＜당기＞,"5,228","5,013","5,407","5,465","7,810","9,041", , 
펼치기 EV/EBITDA,14.17,19.18,15.47,15.92,7.05,6.87,-55.73,-2.49
  EV＜당기＞,797.1,"1,051.2",893.7,"1,036.8","1,310.5","1,539.0", , 
  EBITDA＜당기＞,56.2,54.8,57.8,65.1,186.0,224.0, , 
펼치기 DPS,20,20,20,25,30,,20, 
  현금DPS,20,20,20,25,30,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.14,0.69,0.85,0.79,0.68,0.50,-0.12,-0.18
  현금배당성향(%),16.98,23.04,21.87,15.99,6.98,4.87,-9.01,-2.11
