항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,51,124,135,223,259,,16, 
  당기순이익(지배)＜당기＞,17.0,41.4,45.0,77.3,99.3,, , 
  보통주수정평균발행주식수＜당기＞,"33,409,803","33,409,803","33,409,803","34,713,008","38,376,398","39,125,879", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,728,843,962,"1,189","1,593",,34, 
  자본총계(지배)＜당기＞,243.3,281.6,321.4,430.8,623.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"33,409,807","33,409,807","33,409,807","36,246,280","39,121,671","39,121,671", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-25,103,48,107,-41,,-138, 
  영업활동현금흐름＜당기＞,-8.2,34.4,16.2,37.2,-15.6,, , 
  보통주수정평균발행주식수＜당기＞,"33,409,803","33,409,803","33,409,803","34,713,008","38,376,398","39,125,879", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,156,338,349,455,582,,28, 
  매출액＜당기＞,52.0,113.0,116.7,157.8,223.5,, , 
  보통주수정평균발행주식수＜당기＞,"33,409,803","33,409,803","33,409,803","34,713,008","38,376,398","39,125,879", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,40.35,12.65,12.72,10.76,10.33,,-3.91, 
  보통주수정주가(기말)＜당기＞,"2,055","1,568","1,714","2,395","2,675","2,550", , 
  EPS＜당기＞,51,124,135,223,259,, , 
펼치기 PBR,2.82,1.86,1.78,2.01,1.68,,-16.66, 
  보통주수정주가(기말)＜당기＞,"2,055","1,568","1,714","2,395","2,675","2,550", , 
  BPS＜당기＞,728,843,962,"1,189","1,593",, , 
펼치기 PCR,-83.71,15.22,35.43,22.37,-65.76,,-394.00, 
  보통주수정주가(기말)＜당기＞,"2,055","1,568","1,714","2,395","2,675","2,550", , 
  CPS＜당기＞,-25,103,48,107,-41,, , 
펼치기 PSR,13.19,4.63,4.91,5.27,4.59,,-12.80, 
  보통주수정주가(기말)＜당기＞,"2,055","1,568","1,714","2,395","2,675","2,550", , 
  SPS＜당기＞,156,338,349,455,582,, , 
펼치기 EV/EBITDA,33.70,11.12,10.77,8.08,7.53,,-6.90, 
  EV＜당기＞,744.4,593.7,619.8,833.5,"1,060.6",, , 
  EBITDA＜당기＞,22.1,53.4,57.6,103.1,140.9,, , 
펼치기 DPS,10,13,17,17,10,,-40, 
  현금DPS,10,13,17,17,10,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.49,0.86,0.98,0.70,0.37,,-0.33, 
  현금배당성향(%),19.77,10.83,12.45,7.87,3.94,,-3.93, 
