항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,163,167,339,265,-199,,-175, 
  당기순이익(지배)＜당기＞,28.1,32.4,113.3,93.0,-73.8,, , 
  보통주수정평균발행주식수＜당기＞,"14,733,300","16,548,370","33,427,220","35,061,034","37,141,356","37,141,356", , 
  우선주수정평균발행주식수＜당기＞,"2,466,920","2,850,260",0,0,0,0, , 
펼치기 BPS,"1,346","1,005","1,389","2,609","2,314",,-11, 
  자본총계(지배)＜당기＞,231.4,335.8,464.4,969.1,859.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"14,733,300","33,427,220","33,427,220","37,141,356","37,141,356","35,188,231", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"2,466,920",0,0,0,0,0, , 
펼치기 CPS,194,-208,379,-197,-604,,-206, 
  영업활동현금흐름＜당기＞,33.4,-40.3,126.9,-69.1,-224.3,, , 
  보통주수정평균발행주식수＜당기＞,"14,733,300","16,548,370","33,427,220","35,061,034","37,141,356","37,141,356", , 
  우선주수정평균발행주식수＜당기＞,"2,466,920","2,850,260",0,0,0,0, , 
펼치기 SPS,"2,143","3,332","3,752","1,065","1,616",,52, 
  매출액＜당기＞,368.7,646.3,"1,254.3",373.5,600.0,, , 
  보통주수정평균발행주식수＜당기＞,"14,733,300","16,548,370","33,427,220","35,061,034","37,141,356","37,141,356", , 
  우선주수정평균발행주식수＜당기＞,"2,466,920","2,850,260",0,0,0,0, , 
펼치기 PER,,,,49.41,N/A,,-173.20, 
  보통주수정주가(기말)＜당기＞,,,,"13,100","7,190","5,190", , 
  EPS＜당기＞,163,167,339,265,-199,, , 
펼치기 PBR,0.00,0.00,0.00,5.02,3.11,,-38.11, 
  보통주수정주가(기말)＜당기＞,,,,"13,100","7,190","5,190", , 
  BPS＜당기＞,"1,346","1,005","1,389","2,609","2,314",, , 
펼치기 PCR,,,,-66.44,-11.91,,82.08, 
  보통주수정주가(기말)＜당기＞,,,,"13,100","7,190","5,190", , 
  CPS＜당기＞,194,-208,379,-197,-604,, , 
펼치기 PSR,,,,12.30,4.45,,-63.80, 
  보통주수정주가(기말)＜당기＞,,,,"13,100","7,190","5,190", , 
  SPS＜당기＞,"2,143","3,332","3,752","1,065","1,616",, , 
펼치기 EV/EBITDA,,,,-161.08,142.71,,188.59, 
  EV＜당기＞,,,,"4,298.4","2,364.8",, , 
  EBITDA＜당기＞,52.8,53.0,129.6,-26.7,16.6,, , 
펼치기 DPS,0,0,0,100,,, , 
  현금DPS,0,0,0,100,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,0.76,,, , 
  현금배당성향(%),0.00,0.00,0.00,39.96,,, , 
