항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,488,236,150,321,667,685,108,3
  당기순이익(지배)＜당기＞,85.4,42.1,30.8,66.1,137.4,141.0, , 
  보통주수정평균발행주식수＜당기＞,"17,500,000","17,855,332","20,588,000","20,588,000","20,588,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"6,725","6,444","6,556","6,819","7,377","7,864",8,7
  자본총계(지배)＜당기＞,"1,176.8","1,326.6","1,349.7","1,403.9","1,518.7","1,619.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"17,500,000","20,588,000","20,588,000","20,588,000","20,588,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,372,274,319,410,755,743,84,-2
  영업활동현금흐름＜당기＞,65.0,49.0,65.7,84.4,155.4,156.0, , 
  보통주수정평균발행주식수＜당기＞,"17,500,000","17,855,332","20,588,000","20,588,000","20,588,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,812,753,729,860,"1,258","1,384",46,10
  매출액＜당기＞,142.1,134.5,150.1,177.1,258.9,285.0, , 
  보통주수정평균발행주식수＜당기＞,"17,500,000","17,855,332","20,588,000","20,588,000","20,588,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,,39.78,95.92,34.57,12.44,12.64,-64.02,1.65
  보통주수정주가(기말)＜당기＞,,"9,390","14,350","11,100","8,300","8,660", , 
  EPS＜당기＞,488,236,150,321,667,685, , 
펼치기 PBR,0.00,1.46,2.19,1.63,1.13,1.10,-30.88,-2.12
  보통주수정주가(기말)＜당기＞,,"9,390","14,350","11,100","8,300","8,660", , 
  BPS＜당기＞,"6,725","6,444","6,556","6,819","7,377","7,864", , 
펼치기 PCR,,34.23,45.00,27.07,11.00,11.65,-59.37,5.96
  보통주수정주가(기말)＜당기＞,,"9,390","14,350","11,100","8,300","8,660", , 
  CPS＜당기＞,372,274,319,410,755,743, , 
펼치기 PSR,,12.47,19.69,12.90,6.60,6.26,-48.85,-5.21
  보통주수정주가(기말)＜당기＞,,"9,390","14,350","11,100","8,300","8,660", , 
  SPS＜당기＞,812,753,729,860,"1,258","1,384", , 
펼치기 EV/EBITDA,,35.04,39.96,22.33,8.32,7.93,-62.76,-4.64
  EV＜당기＞,,"1,716.7","2,691.7","1,930.2","1,252.7","1,284.9", , 
  EBITDA＜당기＞,55.3,49.0,67.4,86.4,150.6,162.0, , 
펼치기 DPS,100,40,50,100,200,,100, 
  현금DPS,100,40,50,100,200,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,0.43,0.35,0.90,2.41,2.31,1.51,-0.10
  현금배당성향(%),20.49,19.54,33.42,31.15,29.98,29.20,-1.17,-0.77
