항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,252,160,289,205,291,,42, 
  당기순이익(지배)＜당기＞,47.1,30.0,53.9,38.4,54.5,, , 
  보통주수정평균발행주식수＜당기＞,"18,691,918","18,691,918","18,691,918","18,691,918","18,691,918",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"8,434","8,473","8,881","9,058","9,731",,7, 
  자본총계(지배)＜당기＞,"1,483.6","1,490.5","1,496.5","1,514.7","1,527.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"17,591,918","17,591,918","16,849,918","16,721,466","15,697,634","15,697,634", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,426,"1,533",475,792,-224,,-128, 
  영업활동현금흐름＜당기＞,79.5,286.6,88.8,148.0,-41.8,, , 
  보통주수정평균발행주식수＜당기＞,"18,691,918","18,691,918","18,691,918","18,691,918","18,691,918",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"4,425","3,065","2,331","2,233","7,274",,226, 
  매출액＜당기＞,827.1,572.9,435.7,417.4,"1,359.7",, , 
  보통주수정평균발행주식수＜당기＞,"18,691,918","18,691,918","18,691,918","18,691,918","18,691,918",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,15.08,24.27,12.96,18.29,30.55,,67.06, 
  보통주수정주가(기말)＜당기＞,"3,800","3,890","3,740","3,755","8,900","7,210", , 
  EPS＜당기＞,252,160,289,205,291,, , 
펼치기 PBR,0.45,0.46,0.42,0.41,0.91,,120.64, 
  보통주수정주가(기말)＜당기＞,"3,800","3,890","3,740","3,755","8,900","7,210", , 
  BPS＜당기＞,"8,434","8,473","8,881","9,058","9,731",, , 
펼치기 PCR,8.93,2.54,7.87,4.74,-39.77,,-938.74, 
  보통주수정주가(기말)＜당기＞,"3,800","3,890","3,740","3,755","8,900","7,210", , 
  CPS＜당기＞,426,"1,533",475,792,-224,, , 
펼치기 PSR,0.86,1.27,1.60,1.68,1.22,,-27.25, 
  보통주수정주가(기말)＜당기＞,"3,800","3,890","3,740","3,755","8,900","7,210", , 
  SPS＜당기＞,"4,425","3,065","2,331","2,233","7,274",, , 
펼치기 EV/EBITDA,2.64,3.59,2.67,1.58,11.55,,630.58, 
  EV＜당기＞,315.5,237.8,234.8,115.8,777.5,, , 
  EBITDA＜당기＞,119.7,66.2,88.0,73.2,67.3,, , 
펼치기 DPS,100,100,100,80,80,,0, 
  현금DPS,100,100,100,80,80,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,2.63,2.57,2.67,2.13,0.90,,-1.23, 
  현금배당성향(%),37.35,58.72,31.24,34.87,23.06,,-11.81, 
