항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-217,-297,-317,-178,-482,,-171, 
  당기순이익(지배)＜당기＞,-19.7,-40.6,-63.0,-39.2,-106.9,, , 
  보통주수정평균발행주식수＜당기＞,"9,040,000","13,693,712","19,859,394","22,031,422","22,191,666","22,291,291", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,129","1,056","3,453","3,246","2,778",,-14, 
  자본총계(지배)＜당기＞,102.1,183.1,751.6,720.4,616.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,040,000","17,336,800","21,763,466","22,190,466","22,196,466","22,298,866", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-216,-128,-302,-172,-401,,-133, 
  영업활동현금흐름＜당기＞,-19.5,-17.5,-60.0,-37.9,-89.0,, , 
  보통주수정평균발행주식수＜당기＞,"9,040,000","13,693,712","19,859,394","22,031,422","22,191,666","22,291,291", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,33,106,51,15,10,,-35, 
  매출액＜당기＞,3.0,14.5,10.2,3.4,2.2,, , 
  보통주수정평균발행주식수＜당기＞,"9,040,000","13,693,712","19,859,394","22,031,422","22,191,666","22,291,291", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,N/A,N/A,N/A,,45.97, 
  보통주수정주가(기말)＜당기＞,,,"17,317","25,425","37,200","17,450", , 
  EPS＜당기＞,-217,-297,-317,-178,-482,, , 
펼치기 PBR,0.00,0.00,5.01,7.83,13.39,,70.98, 
  보통주수정주가(기말)＜당기＞,,,"17,317","25,425","37,200","17,450", , 
  BPS＜당기＞,"1,129","1,056","3,453","3,246","2,778",, , 
펼치기 PCR,,,-57.30,-147.98,-92.78,,37.30, 
  보통주수정주가(기말)＜당기＞,,,"17,317","25,425","37,200","17,450", , 
  CPS＜당기＞,-216,-128,-302,-172,-401,, , 
펼치기 PSR,,,337.64,"1,642.46","3,690.73",,124.71, 
  보통주수정주가(기말)＜당기＞,,,"17,317","25,425","37,200","17,450", , 
  SPS＜당기＞,33,106,51,15,10,, , 
펼치기 EV/EBITDA,,,-46.70,-89.46,-72.84,,18.58, 
  EV＜당기＞,,,"3,304.4","5,208.7","8,029.0",, , 
  EBITDA＜당기＞,-20.4,-33.5,-70.8,-58.2,-110.2,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
