항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,750,728,"1,138","1,504","2,410","2,947",60,22
  당기순이익(지배)＜당기＞,48.0,46.6,72.9,100.4,195.8,239.5, , 
  보통주수정평균발행주식수＜당기＞,"6,400,000","6,400,000","6,400,000","6,674,666","8,128,000","8,128,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,210","4,256","5,192","8,852","11,084","13,490",25,22
  자본총계(지배)＜당기＞,205.4,272.4,332.3,719.5,900.9,"1,096.5", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,400,000","6,400,000","6,400,000","8,128,000","8,128,000","8,128,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,728,998,"1,224","1,400","2,338","3,174",67,36
  영업활동현금흐름＜당기＞,46.6,63.9,78.3,93.4,190.1,263.0, , 
  보통주수정평균발행주식수＜당기＞,"6,400,000","6,400,000","6,400,000","6,674,666","8,128,000","8,128,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,155","4,114","5,102","6,088","8,845","10,888",45,23
  매출액＜당기＞,265.9,263.3,326.5,406.3,719.0,885.0, , 
  보통주수정평균발행주식수＜당기＞,"6,400,000","6,400,000","6,400,000","6,674,666","8,128,000","8,128,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,14.22,19.63,12.74,38.00,-35.08
  보통주수정주가(기말)＜당기＞,,,,"21,400","47,300","37,550", , 
  EPS＜당기＞,750,728,"1,138","1,504","2,410","2,947", , 
펼치기 PBR,0.00,0.00,0.00,2.42,4.27,2.78,76.53,-34.78
  보통주수정주가(기말)＜당기＞,,,,"21,400","47,300","37,550", , 
  BPS＜당기＞,"3,210","4,256","5,192","8,852","11,084","13,490", , 
펼치기 PCR,,,,15.29,20.23,11.83,32.33,-41.52
  보통주수정주가(기말)＜당기＞,,,,"21,400","47,300","37,550", , 
  CPS＜당기＞,728,998,"1,224","1,400","2,338","3,174", , 
펼치기 PSR,,,,3.52,5.35,3.45,52.12,-35.51
  보통주수정주가(기말)＜당기＞,,,,"21,400","47,300","37,550", , 
  SPS＜당기＞,"4,155","4,114","5,102","6,088","8,845","10,888", , 
펼치기 EV/EBITDA,,,,12.87,14.49,8.02,12.64,-44.63
  EV＜당기＞,,,,"1,393.9","3,480.8","2,435.6", , 
  EBITDA＜당기＞,62.0,61.1,87.3,108.3,240.2,303.5, , 
펼치기 DPS,150,150,200,200,400,,100, 
  현금DPS,150,150,200,200,400,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,0.93,0.85,1.13,-0.09,0.29
  현금배당성향(%),19.99,20.61,1.76,16.19,16.60,14.42,0.41,-2.18
