항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,321",-566,-632,-368,"1,102",,399, 
  당기순이익(지배)＜당기＞,378.1,-144.5,-161.2,-95.0,284.7,, , 
  보통주수정평균발행주식수＜당기＞,"25,514,093","25,514,093","25,527,728","25,818,323","25,826,362",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"2,964","1,789","2,007","1,636","2,637",,61, 
  자본총계(지배)＜당기＞,756.3,443.3,498.5,410.4,661.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"25,514,093","24,779,093","24,840,083","25,091,362","25,091,362","25,386,949", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-205,-363,33,-26,-106,,-307, 
  영업활동현금흐름＜당기＞,-52.2,-92.7,8.5,-6.7,-27.4,, , 
  보통주수정평균발행주식수＜당기＞,"25,514,093","25,514,093","25,527,728","25,818,323","25,826,362",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"1,430","1,369",819,"1,081",833,,-23, 
  매출액＜당기＞,364.8,349.3,209.1,279.1,215.2,, , 
  보통주수정평균발행주식수＜당기＞,"25,514,093","25,514,093","25,527,728","25,818,323","25,826,362",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,2.80,N/A,N/A,N/A,2.86,,126.43, 
  보통주수정주가(기말)＜당기＞,"3,705","4,030","4,385","3,980","3,150","8,180", , 
  EPS＜당기＞,"1,321",-566,-632,-368,"1,102",, , 
펼치기 PBR,1.25,2.25,2.19,2.43,1.19,,-50.91, 
  보통주수정주가(기말)＜당기＞,"3,705","4,030","4,385","3,980","3,150","8,180", , 
  BPS＜당기＞,"2,964","1,789","2,007","1,636","2,637",, , 
펼치기 PCR,-18.09,-11.09,131.77,-152.62,-29.69,,80.55, 
  보통주수정주가(기말)＜당기＞,"3,705","4,030","4,385","3,980","3,150","8,180", , 
  CPS＜당기＞,-205,-363,33,-26,-106,, , 
펼치기 PSR,2.59,2.94,5.35,3.68,3.78,,2.72, 
  보통주수정주가(기말)＜당기＞,"3,705","4,030","4,385","3,980","3,150","8,180", , 
  SPS＜당기＞,"1,430","1,369",819,"1,081",833,, , 
펼치기 EV/EBITDA,190.36,-21.36,-51.11,80.11,-9.42,,-111.76, 
  EV＜당기＞,683.5,"1,084.2","1,265.2","1,213.3",597.1,, , 
  EBITDA＜당기＞,3.6,-50.8,-24.8,15.1,-63.4,, , 
펼치기 DPS,0,0,,,,, , 
  현금DPS,0,0,,,,, , 
  주식DPS,0,0,,,,, , 
  현금배당수익률,0.00,0.00,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
