항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,875,"1,080","1,189","1,127",677,,-40, 
  당기순이익(지배)＜당기＞,134.3,161.7,139.3,134.6,87.1,, , 
  보통주수정평균발행주식수＜당기＞,"15,352,860","14,975,120","11,718,158","11,942,690","12,858,985","12,999,807", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,145","7,696","8,547","10,549","11,164",,6, 
  자본총계(지배)＜당기＞,920.3,"1,152.5",991.3,"1,345.9","1,446.7",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"14,975,119","14,975,119","11,597,871","12,758,496","12,958,496","12,958,496", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,529,"3,424",784,"1,288","-1,381",,-207, 
  영업활동현금흐름＜당기＞,81.2,512.8,91.9,153.8,-177.6,, , 
  보통주수정평균발행주식수＜당기＞,"15,352,860","14,975,120","11,718,158","11,942,690","12,858,985","12,999,807", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"10,291","10,703","19,490","27,372","24,193",,-12, 
  매출액＜당기＞,"1,579.9","1,602.8","2,283.8","3,269.0","3,111.0",, , 
  보통주수정평균발행주식수＜당기＞,"15,352,860","14,975,120","11,718,158","11,942,690","12,858,985","12,999,807", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,14.63,21.71,,48.37, 
  보통주수정주가(기말)＜당기＞,,,,"16,489","14,700","11,300", , 
  EPS＜당기＞,875,"1,080","1,189","1,127",677,, , 
펼치기 PBR,0.00,0.00,0.00,1.56,1.32,,-15.76, 
  보통주수정주가(기말)＜당기＞,,,,"16,489","14,700","11,300", , 
  BPS＜당기＞,"6,145","7,696","8,547","10,549","11,164",, , 
펼치기 PCR,0.00,0.00,0.00,12.80,-10.64,,-183.13, 
  보통주수정주가(기말)＜당기＞,,,,"16,489","14,700","11,300", , 
  CPS＜당기＞,529,"3,424",784,"1,288","-1,381",, , 
펼치기 PSR,0.00,0.00,0.00,0.60,0.61,,0.86, 
  보통주수정주가(기말)＜당기＞,,,,"16,489","14,700","11,300", , 
  SPS＜당기＞,"10,291","10,703","19,490","27,372","24,193",, , 
펼치기 EV/EBITDA,,,,7.63,11.66,,52.81, 
  EV＜당기＞,,,,"1,992.8","2,210.1",, , 
  EBITDA＜당기＞,188.0,197.9,226.6,261.2,189.6,, , 
펼치기 DPS,268,0,0,312,300,,-4, 
  현금DPS,268,0,0,312,300,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,1.89,2.04,,0.15, 
  현금배당성향(%),29.69,0.00,0.00,29.38,44.64,,15.26, 
