항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-531,-624,-309,-52,597,, , 
  당기순이익(지배)＜당기＞,-171.1,-201.2,-101.0,-17.2,198.0,, , 
  보통주수정평균발행주식수＜당기＞,"32,220,893","32,237,602","32,640,745","33,094,756","33,153,320","35,038,012", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,995","2,373","2,135","2,080","2,778",, , 
  자본총계(지배)＜당기＞,954.6,757.9,699.3,681.3,963.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"31,877,132","31,934,669","32,750,995","32,750,995","34,694,251","34,694,251", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,576,-209,-254,-86,-511,, , 
  영업활동현금흐름＜당기＞,185.6,-67.4,-82.9,-28.6,-169.3,, , 
  보통주수정평균발행주식수＜당기＞,"32,220,893","32,237,602","32,640,745","33,094,756","33,153,320","35,038,012", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,270","1,063","1,618","1,229",515,, , 
  매출액＜당기＞,409.2,342.8,528.3,406.7,170.7,, , 
  보통주수정평균발행주식수＜당기＞,"32,220,893","32,237,602","32,640,745","33,094,756","33,153,320","35,038,012", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,7.84,, , 
  보통주수정주가(기말)＜당기＞,"14,550","4,615","4,665","3,010","4,680","3,705", , 
  EPS＜당기＞,-531,-624,-309,-52,597,, , 
펼치기 PBR,4.86,1.94,2.18,1.45,1.68,, , 
  보통주수정주가(기말)＜당기＞,"14,550","4,615","4,665","3,010","4,680","3,705", , 
  BPS＜당기＞,"2,995","2,373","2,135","2,080","2,778",, , 
펼치기 PCR,25.26,-22.08,-18.36,-34.87,-9.17,, , 
  보통주수정주가(기말)＜당기＞,"14,550","4,615","4,665","3,010","4,680","3,705", , 
  CPS＜당기＞,576,-209,-254,-86,-511,, , 
펼치기 PSR,11.46,4.34,2.88,2.45,9.09,, , 
  보통주수정주가(기말)＜당기＞,"14,550","4,615","4,665","3,010","4,680","3,705", , 
  SPS＜당기＞,"1,270","1,063","1,618","1,229",515,, , 
펼치기 EV/EBITDA,-121.63,-23.96,-17.63,-130.90,-32.85,, , 
  EV＜당기＞,"4,401.8","1,196.3","1,319.4",798.2,"1,334.7",, , 
  EBITDA＜당기＞,-36.2,-49.9,-74.9,-6.1,-40.6,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
