항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,352,323,400,630,597,691,-5,16
  당기순이익(지배)＜당기＞,52.8,48.4,60.0,99.6,100.3,116.0, , 
  보통주수정평균발행주식수＜당기＞,"15,000,000","15,000,000","15,000,000","15,805,752","16,798,204","16,798,204", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,175","2,463","2,479","3,545","3,916","4,352",10,11
  자본총계(지배)＜당기＞,326.3,369.4,371.9,595.5,657.7,731.0, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"15,000,000","15,000,000","15,000,000","16,798,204","16,798,204","16,798,204", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,334,278,526,611,462,720,-24,56
  영업활동현금흐름＜당기＞,50.2,41.8,78.9,96.6,77.6,110.0, , 
  보통주수정평균발행주식수＜당기＞,"15,000,000","15,000,000","15,000,000","15,805,752","16,798,204","16,798,204", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,562","1,491","1,648","2,102","2,339","2,750",11,18
  매출액＜당기＞,234.3,223.7,247.1,332.2,392.9,462.0, , 
  보통주수정평균발행주식수＜당기＞,"15,000,000","15,000,000","15,000,000","15,805,752","16,798,204","16,798,204", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,13.88,15.34,12.73,10.52,-17.04
  보통주수정주가(기말)＜당기＞,,,,"8,745","9,160","8,790", , 
  EPS＜당기＞,352,323,400,630,597,691, , 
펼치기 PBR,0.00,0.00,0.00,2.47,2.34,2.02,-5.17,-13.66
  보통주수정주가(기말)＜당기＞,,,,"8,745","9,160","8,790", , 
  BPS＜당기＞,"2,175","2,463","2,479","3,545","3,916","4,352", , 
펼치기 PCR,,,,14.30,19.82,12.20,38.57,-38.43
  보통주수정주가(기말)＜당기＞,,,,"8,745","9,160","8,790", , 
  CPS＜당기＞,334,278,526,611,462,720, , 
펼치기 PSR,,,,4.16,3.92,3.20,-5.86,-18.40
  보통주수정주가(기말)＜당기＞,,,,"8,745","9,160","8,790", , 
  SPS＜당기＞,"1,562","1,491","1,648","2,102","2,339","2,750", , 
펼치기 EV/EBITDA,,,,10.60,10.01,8.05,-5.61,-19.60
  EV＜당기＞,,,,"1,193.3","1,228.0","1,118.6", , 
  EBITDA＜당기＞,63.8,55.0,70.3,112.5,122.7,139.0, , 
펼치기 DPS,20,371,140,250,250,,0, 
  현금DPS,20,371,140,250,250,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,2.86,2.73,2.84,-0.13,0.11
  현금배당성향(%),5.63,115.05,34.98,42.18,41.08,36.20,-1.10,-4.88
