항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-357,53,820,"1,557","1,629","1,721",5,6
  당기순이익(지배)＜당기＞,-24.5,3.7,56.2,106.8,111.7,118.0, , 
  보통주수정평균발행주식수＜당기＞,"6,856,330","6,856,330","6,856,330","6,856,330","6,856,330",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"5,145","5,163","5,968","7,791","9,268","10,733",19,16
  자본총계(지배)＜당기＞,333.4,334.5,386.7,520.4,619.1,717.0, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,479,616","6,479,616","6,479,616","6,680,109","6,680,109","6,680,109", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,286,130,"1,193",915,"1,673","2,056",83,23
  영업활동현금흐름＜당기＞,19.6,8.9,81.8,62.7,114.7,141.0, , 
  보통주수정평균발행주식수＜당기＞,"6,856,330","6,856,330","6,856,330","6,856,330","6,856,330",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"4,293","3,990","5,122","5,810","7,925","9,291",36,17
  매출액＜당기＞,294.3,273.6,351.2,398.4,543.3,637.0, , 
  보통주수정평균발행주식수＜당기＞,"6,856,330","6,856,330","6,856,330","6,856,330","6,856,330",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,N/A,82.85,9.99,8.77,10.84,7.84,23.59,-27.61
  보통주수정주가(기말)＜당기＞,"5,980","4,385","8,190","13,650","17,650","13,500", , 
  EPS＜당기＞,-357,53,820,"1,557","1,629","1,721", , 
펼치기 PBR,1.16,0.85,1.37,1.75,1.90,1.26,8.69,-33.96
  보통주수정주가(기말)＜당기＞,"5,980","4,385","8,190","13,650","17,650","13,500", , 
  BPS＜당기＞,"5,145","5,163","5,968","7,791","9,268","10,733", , 
펼치기 PCR,20.94,33.70,6.87,14.93,10.55,6.56,-29.30,-37.79
  보통주수정주가(기말)＜당기＞,"5,980","4,385","8,190","13,650","17,650","13,500", , 
  CPS＜당기＞,286,130,"1,193",915,"1,673","2,056", , 
펼치기 PSR,1.39,1.10,1.60,2.35,2.23,1.45,-5.19,-34.76
  보통주수정주가(기말)＜당기＞,"5,980","4,385","8,190","13,650","17,650","13,500", , 
  SPS＜당기＞,"4,293","3,990","5,122","5,810","7,925","9,291", , 
펼치기 EV/EBITDA,-14.22,5.51,5.51,7.58,6.75,3.17,-10.86,-53.13
  EV＜당기＞,236.1,122.5,296.6,598.4,837.2,490.6, , 
  EBITDA＜당기＞,-16.6,22.2,53.9,79.0,124.0,155.0, , 
펼치기 DPS,0,0,100,150,250,,67, 
  현금DPS,0,0,100,150,250,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,1.22,1.10,1.42,2.22,0.32,0.81
  현금배당성향(%),0.00,0.00,11.53,9.39,14.95,17.43,5.57,2.48
