항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,241,236,224,141,153,,9, 
  당기순이익(지배)＜당기＞,36.7,36.0,34.2,21.4,23.3,, , 
  보통주수정평균발행주식수＜당기＞,"15,246,000","15,246,000","15,246,000","15,246,000","15,246,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"4,318","4,538","4,681","4,741","4,824",,2, 
  자본총계(지배)＜당기＞,658.3,691.9,713.7,722.8,735.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"15,246,000","15,246,000","15,246,000","15,246,000","15,246,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,239,72,192,87,515,,490, 
  영업활동현금흐름＜당기＞,36.5,10.9,29.3,13.3,78.6,, , 
  보통주수정평균발행주식수＜당기＞,"15,246,000","15,246,000","15,246,000","15,246,000","15,246,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"1,369","1,247","1,210",939,986,,5, 
  매출액＜당기＞,208.7,190.2,184.5,143.1,150.3,, , 
  보통주수정평균발행주식수＜당기＞,"15,246,000","15,246,000","15,246,000","15,246,000","15,246,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,23.69,29.74,21.64,28.51,28.49,,-0.06, 
  보통주수정주가(기말)＜당기＞,"5,700","7,030","4,855","4,010","4,350","4,555", , 
  EPS＜당기＞,241,236,224,141,153,, , 
펼치기 PBR,1.32,1.55,1.04,0.85,0.90,,6.62, 
  보통주수정주가(기말)＜당기＞,"5,700","7,030","4,855","4,010","4,350","4,555", , 
  BPS＜당기＞,"4,318","4,538","4,681","4,741","4,824",, , 
펼치기 PCR,23.84,98.02,25.23,45.87,8.44,,-81.60, 
  보통주수정주가(기말)＜당기＞,"5,700","7,030","4,855","4,010","4,350","4,555", , 
  CPS＜당기＞,239,72,192,87,515,, , 
펼치기 PSR,4.16,5.64,4.01,4.27,4.41,,3.30, 
  보통주수정주가(기말)＜당기＞,"5,700","7,030","4,855","4,010","4,350","4,555", , 
  SPS＜당기＞,"1,369","1,247","1,210",939,986,, , 
펼치기 EV/EBITDA,16.11,23.84,25.51,61.55,17.16,,-72.13, 
  EV＜당기＞,713.9,887.3,530.7,367.1,342.4,, , 
  EBITDA＜당기＞,44.3,37.2,20.8,6.0,20.0,, , 
펼치기 DPS,80,80,80,70,70,,0, 
  현금DPS,80,80,80,70,70,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.40,1.14,1.65,1.75,1.61,,-0.14, 
  현금배당성향(%),33.24,33.85,35.65,49.77,45.85,,-3.92, 
