항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,143,120,542,231,211,,-9, 
  당기순이익(지배)＜당기＞,14.3,12.0,54.2,23.1,21.1,, , 
  보통주수정평균발행주식수＜당기＞,"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"3,420","3,523","4,073","4,444","4,757",,7, 
  자본총계(지배)＜당기＞,321.5,331.1,382.8,395.5,447.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,398,680","9,398,680","9,398,680","8,898,680","9,398,680","9,398,680", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,40,-164,453,447,147,,-67, 
  영업활동현금흐름＜당기＞,4.0,-16.4,45.3,44.7,14.7,, , 
  보통주수정평균발행주식수＜당기＞,"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"6,711","6,184","5,459","5,769","5,841",,1, 
  매출액＜당기＞,671.1,618.4,545.9,576.9,584.1,, , 
  보통주수정평균발행주식수＜당기＞,"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,18.75,18.75,4.11,17.03,23.27,,36.67, 
  보통주수정주가(기말)＜당기＞,"2,690","2,245","2,230","3,935","4,905","5,180", , 
  EPS＜당기＞,143,120,542,231,211,, , 
펼치기 PBR,0.79,0.64,0.55,0.89,1.03,,16.45, 
  보통주수정주가(기말)＜당기＞,"2,690","2,245","2,230","3,935","4,905","5,180", , 
  BPS＜당기＞,"3,420","3,523","4,073","4,444","4,757",, , 
펼치기 PCR,67.92,-13.70,4.93,8.80,33.44,,279.86, 
  보통주수정주가(기말)＜당기＞,"2,690","2,245","2,230","3,935","4,905","5,180", , 
  CPS＜당기＞,40,-164,453,447,147,, , 
펼치기 PSR,0.40,0.36,0.41,0.68,0.84,,23.12, 
  보통주수정주가(기말)＜당기＞,"2,690","2,245","2,230","3,935","4,905","5,180", , 
  SPS＜당기＞,"6,711","6,184","5,459","5,769","5,841",, , 
펼치기 EV/EBITDA,7.54,8.19,67.91,9.00,7.85,,-12.77, 
  EV＜당기＞,227.5,190.1,172.7,247.1,307.8,, , 
  EBITDA＜당기＞,30.2,23.2,2.5,27.5,39.2,, , 
펼치기 DPS,25,25,25,25,25,,0, 
  현금DPS,25,25,25,25,25,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.93,1.11,1.12,0.64,0.51,,-0.13, 
  현금배당성향(%),16.37,19.63,4.33,9.63,11.15,,1.52, 
