항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,589,352,-256,-900,"-2,631",, , 
  당기순이익(지배)＜당기＞,64.3,40.0,-29.1,-106.3,-416.5,, , 
  보통주수정평균발행주식수＜당기＞,"10,923,142","11,349,881","11,366,254","11,812,975","15,832,831","24,399,214", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,530","2,615","2,716","1,341",214,, , 
  자본총계(지배)＜당기＞,384.7,293.3,304.6,171.2,34.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,898,254","11,215,645","11,214,784","12,767,930","15,965,572","27,306,244", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,511,131,-429,0,-308,, , 
  영업활동현금흐름＜당기＞,55.8,14.9,-48.8,0.0,-48.7,, , 
  보통주수정평균발행주식수＜당기＞,"10,923,142","11,349,881","11,366,254","11,812,975","15,832,831","24,399,214", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"5,831","4,772","4,233","2,572",887,, , 
  매출액＜당기＞,636.9,541.6,481.1,303.9,140.5,, , 
  보통주수정평균발행주식수＜당기＞,"10,923,142","11,349,881","11,366,254","11,812,975","15,832,831","24,399,214", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,15.81,21.31,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,"9,312","7,510","4,611","6,934","2,535","3,975", , 
  EPS＜당기＞,589,352,-256,-900,"-2,631",, , 
펼치기 PBR,2.64,2.87,1.70,5.17,11.86,, , 
  보통주수정주가(기말)＜당기＞,"9,312","7,510","4,611","6,934","2,535","3,975", , 
  BPS＜당기＞,"3,530","2,615","2,716","1,341",214,, , 
펼치기 PCR,18.24,57.13,-10.75,"48,584.15",-8.24,, , 
  보통주수정주가(기말)＜당기＞,"9,312","7,510","4,611","6,934","2,535","3,975", , 
  CPS＜당기＞,511,131,-429,0,-308,, , 
펼치기 PSR,1.60,1.57,1.09,2.70,2.86,, , 
  보통주수정주가(기말)＜당기＞,"9,312","7,510","4,611","6,934","2,535","3,975", , 
  SPS＜당기＞,"5,831","4,772","4,233","2,572",887,, , 
펼치기 EV/EBITDA,7.09,13.70,-46.37,-10.65,-4.79,, , 
  EV＜당기＞,764.9,737.2,627.5,857.2,437.7,, , 
  EBITDA＜당기＞,107.9,53.8,-13.5,-80.5,-91.3,, , 
펼치기 DPS,945,0,0,0,0,, , 
  현금DPS,945,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,10.15,0.00,0.00,0.00,0.00,, , 
  현금배당성향(%),156.02,0.00,0.00,0.00,,, , 
