항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-715,-757,-758,"-1,496",-43,,97, 
  당기순이익(지배)＜당기＞,-33.5,-49.6,-61.5,-191.9,-7.6,, , 
  보통주수정평균발행주식수＜당기＞,"4,688,852","6,554,660","8,117,106","12,829,796","17,505,375","25,177,658", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,135","1,472","1,850","1,536","2,243",,46, 
  자본총계(지배)＜당기＞,135.5,96.1,222.0,242.0,507.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,346,534","6,524,846","12,000,002","15,762,100","22,619,988","25,853,176", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,53,-202,-375,-137,-61,,56, 
  영업활동현금흐름＜당기＞,2.5,-13.2,-30.4,-17.6,-10.7,, , 
  보통주수정평균발행주식수＜당기＞,"4,688,852","6,554,660","8,117,106","12,829,796","17,505,375","25,177,658", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,594","3,520","3,214","1,962","1,081",,-45, 
  매출액＜당기＞,215.4,230.7,260.9,251.8,189.2,, , 
  보통주수정평균발행주식수＜당기＞,"4,688,852","6,554,660","8,117,106","12,829,796","17,505,375","25,177,658", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,"-8,176.05", 
  보통주수정주가(기말)＜당기＞,"5,250","2,345","5,000","2,875","6,875","3,795", , 
  EPS＜당기＞,-715,-757,-758,"-1,496",-43,, , 
펼치기 PBR,2.46,1.59,2.70,1.87,3.06,,63.69, 
  보통주수정주가(기말)＜당기＞,"5,250","2,345","5,000","2,875","6,875","3,795", , 
  BPS＜당기＞,"2,135","1,472","1,850","1,536","2,243",, , 
펼치기 PCR,99.47,-11.60,-13.34,-20.97,-112.84,,-438.02, 
  보통주수정주가(기말)＜당기＞,"5,250","2,345","5,000","2,875","6,875","3,795", , 
  CPS＜당기＞,53,-202,-375,-137,-61,, , 
펼치기 PSR,1.14,0.67,1.56,1.47,6.36,,334.16, 
  보통주수정주가(기말)＜당기＞,"5,250","2,345","5,000","2,875","6,875","3,795", , 
  SPS＜당기＞,"4,594","3,520","3,214","1,962","1,081",, , 
펼치기 EV/EBITDA,34.28,-22.64,-29.35,-16.74,"-2,154.11",,"-12,769.73", 
  EV＜당기＞,258.7,183.2,475.5,445.2,"1,240.4",, , 
  EBITDA＜당기＞,7.5,-8.1,-16.2,-26.6,-0.6,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,0.00,,0.00, 
