항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,727,702,102,-92,-428,,-367, 
  당기순이익(지배)＜당기＞,175.1,181.2,26.3,-23.7,-110.5,, , 
  보통주수정평균발행주식수＜당기＞,"24,080,409","25,831,764","25,831,764","25,831,764","25,831,764",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"6,663","7,332","7,388","7,294","6,884",,-6, 
  자본총계(지배)＜당기＞,"1,713.8","1,885.9","1,900.4","1,876.2","1,770.7",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"25,721,764","25,721,764","25,721,764","25,721,764","25,721,764",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,915,756,269,-101,478,,573, 
  영업활동현금흐름＜당기＞,220.4,195.4,69.5,-26.1,123.5,, , 
  보통주수정평균발행주식수＜당기＞,"24,080,409","25,831,764","25,831,764","25,831,764","25,831,764",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"9,586","9,684","10,474","10,692","11,447",,7, 
  매출액＜당기＞,"2,308.4","2,501.6","2,705.7","2,761.8","2,956.8",, , 
  보통주수정평균발행주식수＜당기＞,"24,080,409","25,831,764","25,831,764","25,831,764","25,831,764",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,5.61,5.34,35.03,N/A,N/A,,80.22, 
  보통주수정주가(기말)＜당기＞,"4,075","3,745","3,570","3,335","3,080","3,190", , 
  EPS＜당기＞,727,702,102,-92,-428,, , 
펼치기 PBR,0.61,0.51,0.48,0.46,0.45,,-2.14, 
  보통주수정주가(기말)＜당기＞,"4,075","3,745","3,570","3,335","3,080","3,190", , 
  BPS＜당기＞,"6,663","7,332","7,388","7,294","6,884",, , 
펼치기 PCR,4.45,4.95,13.26,-32.98,6.44,,119.54, 
  보통주수정주가(기말)＜당기＞,"4,075","3,745","3,570","3,335","3,080","3,190", , 
  CPS＜당기＞,915,756,269,-101,478,, , 
펼치기 PSR,0.43,0.39,0.34,0.31,0.27,,-13.74, 
  보통주수정주가(기말)＜당기＞,"4,075","3,745","3,570","3,335","3,080","3,190", , 
  SPS＜당기＞,"9,586","9,684","10,474","10,692","11,447",, , 
펼치기 EV/EBITDA,2.24,0.82,3.29,-178.30,8.49,,104.76, 
  EV＜당기＞,418.1,154.5,210.7,677.4,487.2,, , 
  EBITDA＜당기＞,186.3,187.3,64.0,-3.8,57.4,, , 
펼치기 DPS,50,50,,,,, , 
  현금DPS,50,50,,,,, , 
  주식DPS,0,,,,,, , 
  현금배당수익률,1.23,1.34,,,,, , 
  현금배당성향(%),7.35,7.10,0.00,0.00,,, , 
