항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-749,-912,352,-121,598,, , 
  당기순이익(지배)＜당기＞,-65.7,-79.9,30.8,-10.6,52.4,, , 
  보통주수정평균발행주식수＜당기＞,"8,769,174","8,769,174","8,769,174","8,769,174","8,769,174","8,769,174", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,463","1,674","1,980","1,838","3,143",, , 
  자본총계(지배)＜당기＞,215.9,146.8,173.6,161.1,275.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,769,174","8,769,174","8,769,174","8,769,174","8,769,174","8,769,174", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-191,-416,604,-486,500,, , 
  영업활동현금흐름＜당기＞,-16.8,-36.5,52.9,-42.6,43.9,, , 
  보통주수정평균발행주식수＜당기＞,"8,769,174","8,769,174","8,769,174","8,769,174","8,769,174","8,769,174", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,155","2,967","4,412","4,783","6,811",, , 
  매출액＜당기＞,276.7,260.1,386.9,419.4,597.3,, , 
  보통주수정평균발행주식수＜당기＞,"8,769,174","8,769,174","8,769,174","8,769,174","8,769,174","8,769,174", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,8.65,N/A,14.59,, , 
  보통주수정주가(기말)＜당기＞,"3,205","1,705","3,040","4,060","8,720","8,580", , 
  EPS＜당기＞,-749,-912,352,-121,598,, , 
펼치기 PBR,1.30,1.02,1.54,2.21,2.77,, , 
  보통주수정주가(기말)＜당기＞,"3,205","1,705","3,040","4,060","8,720","8,580", , 
  BPS＜당기＞,"2,463","1,674","1,980","1,838","3,143",, , 
펼치기 PCR,-16.77,-4.10,5.04,-8.35,17.42,, , 
  보통주수정주가(기말)＜당기＞,"3,205","1,705","3,040","4,060","8,720","8,580", , 
  CPS＜당기＞,-191,-416,604,-486,500,, , 
펼치기 PSR,1.02,0.57,0.69,0.85,1.28,, , 
  보통주수정주가(기말)＜당기＞,"3,205","1,705","3,040","4,060","8,720","8,580", , 
  SPS＜당기＞,"3,155","2,967","4,412","4,783","6,811",, , 
펼치기 EV/EBITDA,-13.32,-5.83,9.58,"1,123.24",13.62,, , 
  EV＜당기＞,399.2,322.5,398.5,542.6,929.9,, , 
  EBITDA＜당기＞,-30.0,-55.3,41.6,0.5,68.3,, , 
펼치기 DPS,0,0,50,0,,, , 
  현금DPS,0,0,50,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,1.64,0.00,,, , 
  현금배당성향(%),0.00,0.00,14.22,0.00,,, , 
