항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,535,648,298,534,"1,096",,105, 
  당기순이익(지배)＜당기＞,24.6,29.9,13.7,24.6,53.1,, , 
  보통주수정평균발행주식수＜당기＞,"4,600,000","4,600,000","4,600,000","4,600,000","4,848,834","6,223,226", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,224","3,834","4,115","4,642","6,741",,45, 
  자본총계(지배)＜당기＞,148.3,176.4,189.3,213.5,417.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,600,000","4,600,000","4,600,000","4,600,000","6,193,410","6,229,930", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,677,883,157,758,830,,9, 
  영업활동현금흐름＜당기＞,31.1,40.6,7.2,34.9,40.2,, , 
  보통주수정평균발행주식수＜당기＞,"4,600,000","4,600,000","4,600,000","4,600,000","4,848,834","6,223,226", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,577","2,871","2,073","2,865","4,476",,56, 
  매출액＜당기＞,118.6,132.0,95.4,131.8,217.0,, , 
  보통주수정평균발행주식수＜당기＞,"4,600,000","4,600,000","4,600,000","4,600,000","4,848,834","6,223,226", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,33.85,, , 
  보통주수정주가(기말)＜당기＞,,,,,"37,100","20,800", , 
  EPS＜당기＞,535,648,298,534,"1,096",, , 
펼치기 PBR,0.00,0.00,0.00,0.00,5.50,, , 
  보통주수정주가(기말)＜당기＞,,,,,"37,100","20,800", , 
  BPS＜당기＞,"3,224","3,834","4,115","4,642","6,741",, , 
펼치기 PCR,,,,,44.71,, , 
  보통주수정주가(기말)＜당기＞,,,,,"37,100","20,800", , 
  CPS＜당기＞,677,883,157,758,830,, , 
펼치기 PSR,,,,,8.29,, , 
  보통주수정주가(기말)＜당기＞,,,,,"37,100","20,800", , 
  SPS＜당기＞,"2,577","2,871","2,073","2,865","4,476",, , 
펼치기 EV/EBITDA,,,,,30.26,, , 
  EV＜당기＞,,,,,"2,014.0",, , 
  EBITDA＜당기＞,30.2,34.7,17.7,34.7,66.6,, , 
펼치기 DPS,87,0,0,0,100,, , 
  현금DPS,87,0,0,0,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,0.27,, , 
  현금배당성향(%),16.23,0.00,0.00,0.00,11.65,,11.65, 
