항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,304",-96,746,"1,521",-39,,-103, 
  당기순이익(지배)＜당기＞,121.2,-10.2,84.4,172.0,-4.4,, , 
  보통주수정평균발행주식수＜당기＞,"9,290,396","10,618,790","11,312,236","11,312,236","11,312,236","11,312,236", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"4,963","4,647","5,399","6,872","6,598",,-4, 
  자본총계(지배)＜당기＞,521.9,525.6,607.8,777.4,739.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,516,300","11,312,236","11,256,724","11,312,236","11,202,466","11,088,829", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,136",-573,-140,"2,908",-285,,-110, 
  영업활동현금흐름＜당기＞,105.5,-60.9,-15.9,328.9,-32.2,, , 
  보통주수정평균발행주식수＜당기＞,"9,290,396","10,618,790","11,312,236","11,312,236","11,312,236","11,312,236", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"9,841","3,339","7,520","9,389","4,472",,-52, 
  매출액＜당기＞,914.3,354.6,850.6,"1,062.1",505.8,, , 
  보통주수정평균발행주식수＜당기＞,"9,290,396","10,618,790","11,312,236","11,312,236","11,312,236","11,312,236", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,9.20,N/A,18.26,8.42,N/A,,"-3,099.49", 
  보통주수정주가(기말)＜당기＞,"11,997","4,749","13,625","12,800","9,850","8,150", , 
  EPS＜당기＞,"1,304",-96,746,"1,521",-39,, , 
펼치기 PBR,2.42,1.02,2.52,1.86,1.49,,-19.85, 
  보통주수정주가(기말)＜당기＞,"11,997","4,749","13,625","12,800","9,850","8,150", , 
  BPS＜당기＞,"4,963","4,647","5,399","6,872","6,598",, , 
펼치기 PCR,10.56,-8.28,-97.07,4.40,-34.57,,-885.20, 
  보통주수정주가(기말)＜당기＞,"11,997","4,749","13,625","12,800","9,850","8,150", , 
  CPS＜당기＞,"1,136",-573,-140,"2,908",-285,, , 
펼치기 PSR,1.22,1.42,1.81,1.36,2.20,,61.57, 
  보통주수정주가(기말)＜당기＞,"11,997","4,749","13,625","12,800","9,850","8,150", , 
  SPS＜당기＞,"9,841","3,339","7,520","9,389","4,472",, , 
펼치기 EV/EBITDA,6.72,-96.51,17.18,4.47,-33.82,,-856.39, 
  EV＜당기＞,"1,130.7",468.2,"1,527.9","1,175.3",945.0,, , 
  EBITDA＜당기＞,168.3,-4.9,89.0,262.8,-27.9,, , 
펼치기 DPS,100,0,100,150,100,,-33, 
  현금DPS,100,0,100,150,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.83,0.00,0.73,1.17,1.02,,-0.16, 
  현금배당성향(%),8.68,0.00,13.27,9.86,-253.80,,-263.66, 
