항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-267,56,-43,-5,-139,,"-2,947", 
  당기순이익(지배)＜당기＞,-40.0,8.6,-7.8,-0.9,-28.2,, , 
  보통주수정평균발행주식수＜당기＞,"14,448,632","14,769,290","18,200,542","20,064,453","20,303,320","20,464,549", , 
  우선주수정평균발행주식수＜당기＞,"533,915","597,682","121,950",0,0,, , 
펼치기 BPS,48,99,705,704,606,,-14, 
  자본총계(지배)＜당기＞,7.3,15.2,141.5,141.3,124.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"14,769,291","14,769,291","20,064,453","20,064,453","20,464,549","20,464,549", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"461,038","648,538",0,0,0,, , 
펼치기 CPS,-22,-27,-76,98,-142,,-245, 
  영업활동현금흐름＜당기＞,-3.3,-4.2,-14.0,19.7,-28.9,, , 
  보통주수정평균발행주식수＜당기＞,"14,448,632","14,769,290","18,200,542","20,064,453","20,303,320","20,464,549", , 
  우선주수정평균발행주식수＜당기＞,"533,915","597,682","121,950",0,0,, , 
펼치기 SPS,399,468,424,431,345,,-20, 
  매출액＜당기＞,59.8,71.9,77.8,86.5,70.0,, , 
  보통주수정평균발행주식수＜당기＞,"14,448,632","14,769,290","18,200,542","20,064,453","20,303,320","20,464,549", , 
  우선주수정평균발행주식수＜당기＞,"533,915","597,682","121,950",0,0,, , 
펼치기 PER,,,N/A,N/A,N/A,,96.96, 
  보통주수정주가(기말)＜당기＞,,,"2,455","4,251","3,940","2,610", , 
  EPS＜당기＞,-267,56,-43,-5,-139,, , 
펼치기 PBR,0.00,0.00,3.48,6.04,6.50,,7.64, 
  보통주수정주가(기말)＜당기＞,,,"2,455","4,251","3,940","2,610", , 
  BPS＜당기＞,48,99,705,704,606,, , 
펼치기 PCR,,,-32.21,43.38,-27.71,,-163.87, 
  보통주수정주가(기말)＜당기＞,,,"2,455","4,251","3,940","2,610", , 
  CPS＜당기＞,-22,-27,-76,98,-142,, , 
펼치기 PSR,,,5.79,9.86,11.42,,15.85, 
  보통주수정주가(기말)＜당기＞,,,"2,455","4,251","3,940","2,610", , 
  SPS＜당기＞,399,468,424,431,345,, , 
펼치기 EV/EBITDA,,,-120.78,80.03,-83.28,,-204.06, 
  EV＜당기＞,,,495.1,848.1,753.9,, , 
  EBITDA＜당기＞,-6.1,-0.2,-4.1,10.6,-9.1,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,,0.00,,, , 
