항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-413,-493,-669,-730,26,,104, 
  당기순이익(지배)＜당기＞,-87.3,-129.9,-178.2,-198.7,8.3,, , 
  보통주수정평균발행주식수＜당기＞,"21,137,338","26,338,887","26,625,292","27,221,010","32,178,401","33,182,668", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,486","2,244","2,073","1,542","2,168",,41, 
  자본총계(지배)＜당기＞,620.5,597.3,551.8,435.7,719.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"24,960,263","26,625,292","26,625,292","28,264,636","33,182,668","33,182,668", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-326,-508,-494,-315,-181,,42, 
  영업활동현금흐름＜당기＞,-68.9,-133.8,-131.5,-85.6,-58.4,, , 
  보통주수정평균발행주식수＜당기＞,"21,137,338","26,338,887","26,625,292","27,221,010","32,178,401","33,182,668", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,921,636,789,941,871,,-7, 
  매출액＜당기＞,194.6,167.5,210.2,256.1,280.2,, , 
  보통주수정평균발행주식수＜당기＞,"21,137,338","26,338,887","26,625,292","27,221,010","32,178,401","33,182,668", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,340.81,,"3,559.20", 
  보통주수정주가(기말)＜당기＞,"8,780","6,360","6,650","7,190","8,790","7,050", , 
  EPS＜당기＞,-413,-493,-669,-730,26,, , 
펼치기 PBR,3.53,2.83,3.21,4.66,4.05,,-13.08, 
  보통주수정주가(기말)＜당기＞,"8,780","6,360","6,650","7,190","8,790","7,050", , 
  BPS＜당기＞,"2,486","2,244","2,073","1,542","2,168",, , 
펼치기 PCR,-26.94,-12.52,-13.47,-22.85,-48.45,,-112.00, 
  보통주수정주가(기말)＜당기＞,"8,780","6,360","6,650","7,190","8,790","7,050", , 
  CPS＜당기＞,-326,-508,-494,-315,-181,, , 
펼치기 PSR,9.54,10.00,8.42,7.64,10.10,,32.08, 
  보통주수정주가(기말)＜당기＞,"8,780","6,360","6,650","7,190","8,790","7,050", , 
  SPS＜당기＞,921,636,789,941,871,, , 
펼치기 EV/EBITDA,-37.59,-17.01,-14.38,-25.60,-66.64,,-160.26, 
  EV＜당기＞,"1,970.1","1,580.2","1,701.5","2,114.4","2,767.4",, , 
  EBITDA＜당기＞,-52.4,-92.9,-118.3,-82.6,-41.5,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
