항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,-338,-476,-883,"-1,806",,-105, 
  당기순이익(지배)＜당기＞,,-13.8,-20.3,-44.5,-108.6,, , 
  보통주수정평균발행주식수＜당기＞,"3,776,700","3,776,700","3,958,610","4,657,501","5,953,319","6,168,195", , 
  우선주수정평균발행주식수＜당기＞,"303,000","303,000","303,000","388,184","56,848",0, , 
펼치기 BPS,,103,"1,374","1,363","6,546",,380, 
  자본총계(지배)＜당기＞,,4.2,65.8,70.0,385.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"3,776,700","3,776,700","4,484,200","4,888,200","5,880,852","5,880,852", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"303,000","303,000","303,000","249,995",0,0, , 
펼치기 CPS,,130,986,23,-84,,-466, 
  영업활동현금흐름＜당기＞,,5.3,42.0,1.2,-5.0,, , 
  보통주수정평균발행주식수＜당기＞,"3,776,700","3,776,700","3,958,610","4,657,501","5,953,319","6,168,195", , 
  우선주수정평균발행주식수＜당기＞,"303,000","303,000","303,000","388,184","56,848",0, , 
펼치기 SPS,,924,960,728,626,,-14, 
  매출액＜당기＞,,37.7,40.9,36.7,37.6,, , 
  보통주수정평균발행주식수＜당기＞,"3,776,700","3,776,700","3,958,610","4,657,501","5,953,319","6,168,195", , 
  우선주수정평균발행주식수＜당기＞,"303,000","303,000","303,000","388,184","56,848",0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"33,400","25,700", , 
  EPS＜당기＞,,-338,-476,-883,"-1,806",, , 
펼치기 PBR,,0.00,0.00,0.00,5.10,, , 
  보통주수정주가(기말)＜당기＞,,,,,"33,400","25,700", , 
  BPS＜당기＞,,103,"1,374","1,363","6,546",, , 
펼치기 PCR,,,,,-397.71,, , 
  보통주수정주가(기말)＜당기＞,,,,,"33,400","25,700", , 
  CPS＜당기＞,,130,986,23,-84,, , 
펼치기 PSR,,,,,53.34,, , 
  보통주수정주가(기말)＜당기＞,,,,,"33,400","25,700", , 
  SPS＜당기＞,,924,960,728,626,, , 
펼치기 EV/EBITDA,,,,,-180.90,, , 
  EV＜당기＞,,,,,"1,805.8",, , 
  EBITDA＜당기＞,,6.2,-5.7,-6.1,-10.0,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,0.00,0.00,0.00,,, , 
