항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"3,718","2,883",819,-162,785,,584, 
  당기순이익(지배)＜당기＞,298.1,287.7,82.3,-16.4,79.7,, , 
  보통주수정평균발행주식수＜당기＞,"8,016,328","9,980,006","10,053,462","10,101,816","10,151,129","10,192,640", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"11,844","14,083","14,240","14,188","15,088",,6, 
  자본총계(지배)＜당기＞,"1,176.2","1,381.7","1,412.8","1,379.3","1,480.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,931,140","9,811,140","9,921,140","9,722,240","9,812,640","9,812,640", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"4,793","2,475","1,480","1,247","1,213",,-3, 
  영업활동현금흐름＜당기＞,384.3,247.0,148.8,126.0,123.1,, , 
  보통주수정평균발행주식수＜당기＞,"8,016,328","9,980,006","10,053,462","10,101,816","10,151,129","10,192,640", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"13,228","10,070","7,211","7,201","8,154",,13, 
  매출액＜당기＞,"1,060.4","1,005.0",725.0,727.4,827.7,, , 
  보통주수정평균발행주식수＜당기＞,"8,016,328","9,980,006","10,053,462","10,101,816","10,151,129","10,192,640", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,11.42,4.89,18.81,N/A,17.82,,120.60, 
  보통주수정주가(기말)＜당기＞,"42,450","14,100","15,400","14,050","14,000","12,100", , 
  EPS＜당기＞,"3,718","2,883",819,-162,785,, , 
펼치기 PBR,3.58,1.00,1.08,0.99,0.93,,-6.30, 
  보통주수정주가(기말)＜당기＞,"42,450","14,100","15,400","14,050","14,000","12,100", , 
  BPS＜당기＞,"11,844","14,083","14,240","14,188","15,088",, , 
펼치기 PCR,8.86,5.70,10.41,11.27,11.54,,2.43, 
  보통주수정주가(기말)＜당기＞,"42,450","14,100","15,400","14,050","14,000","12,100", , 
  CPS＜당기＞,"4,793","2,475","1,480","1,247","1,213",, , 
펼치기 PSR,3.21,1.40,2.14,1.95,1.72,,-12.00, 
  보통주수정주가(기말)＜당기＞,"42,450","14,100","15,400","14,050","14,000","12,100", , 
  SPS＜당기＞,"13,228","10,070","7,211","7,201","8,154",, , 
펼치기 EV/EBITDA,7.71,1.54,7.48,10.69,7.70,,-27.94, 
  EV＜당기＞,"3,329.2",576.5,"1,019.2","1,007.3","1,067.1",, , 
  EBITDA＜당기＞,431.9,373.8,136.2,94.3,138.6,, , 
펼치기 DPS,610,575,160,0,160,, , 
  현금DPS,610,575,160,0,160,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,1.44,4.08,1.04,0.00,1.14,,1.14, 
  현금배당성향(%),20.32,19.61,19.29,0.00,19.69,,19.69, 
