항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,386,336,-197,384,490,,28, 
  당기순이익(지배)＜당기＞,22.6,21.3,-14.0,31.2,40.0,, , 
  보통주수정평균발행주식수＜당기＞,"5,500,000","5,500,000","6,665,533","8,131,011","8,176,255","8,227,937", , 
  우선주수정평균발행주식수＜당기＞,"350,840","832,005","474,098",0,0,, , 
펼치기 BPS,"1,685","1,694","3,159","3,485","3,904",,12, 
  자본총계(지배)＜당기＞,98.6,109.7,256.9,281.6,316.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,500,000","5,500,000","8,129,825","8,081,461","8,097,461","8,150,461", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"350,840","975,840",0,0,0,0, , 
펼치기 CPS,254,313,428,317,378,,19, 
  영업활동현금흐름＜당기＞,14.9,19.8,30.5,25.8,30.9,, , 
  보통주수정평균발행주식수＜당기＞,"5,500,000","5,500,000","6,665,533","8,131,011","8,176,255","8,227,937", , 
  우선주수정평균발행주식수＜당기＞,"350,840","832,005","474,098",0,0,, , 
펼치기 SPS,"2,462","2,595","2,595","2,434","3,327",,37, 
  매출액＜당기＞,144.1,164.3,185.3,197.9,272.0,, , 
  보통주수정평균발행주식수＜당기＞,"5,500,000","5,500,000","6,665,533","8,131,011","8,176,255","8,227,937", , 
  우선주수정평균발행주식수＜당기＞,"350,840","832,005","474,098",0,0,, , 
펼치기 PER,,,N/A,21.19,17.62,,-16.84, 
  보통주수정주가(기말)＜당기＞,,,"6,820","8,140","8,630","7,740", , 
  EPS＜당기＞,386,336,-197,384,490,, , 
펼치기 PBR,0.00,0.00,2.16,2.34,2.21,,-5.36, 
  보통주수정주가(기말)＜당기＞,,,"6,820","8,140","8,630","7,740", , 
  BPS＜당기＞,"1,685","1,694","3,159","3,485","3,904",, , 
펼치기 PCR,,,15.95,25.65,22.81,,-11.09, 
  보통주수정주가(기말)＜당기＞,,,"6,820","8,140","8,630","7,740", , 
  CPS＜당기＞,254,313,428,317,378,, , 
펼치기 PSR,,,2.63,3.34,2.59,,-22.45, 
  보통주수정주가(기말)＜당기＞,,,"6,820","8,140","8,630","7,740", , 
  SPS＜당기＞,"2,462","2,595","2,595","2,434","3,327",, , 
펼치기 EV/EBITDA,,,12.61,13.74,9.40,,-31.57, 
  EV＜당기＞,,,458.5,558.0,617.2,, , 
  EBITDA＜당기＞,31.0,35.5,36.3,40.6,65.6,, , 
펼치기 DPS,14,14,50,75,100,,33, 
  현금DPS,14,14,50,75,100,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,0.73,0.92,1.16,,0.24, 
  현금배당성향(%),3.71,3.61,-28.94,19.41,20.23,,0.82, 
