항목,"2017/12
(IFRS별도)",2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-455,-521,34,"-4,743",-573,,88, 
  당기순이익(지배)＜당기＞,-54.5,-70.6,4.7,-748.4,-132.3,, , 
  보통주수정평균발행주식수＜당기＞,"11,975,588","13,537,391","13,848,373","15,778,336","23,071,656","26,693,985", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,345","1,228","1,293","2,126","3,004",,41, 
  자본총계(지배)＜당기＞,168.0,170.0,179.0,446.2,783.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"12,492,590","13,847,792","13,847,792","20,990,873","26,097,601","26,774,740", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-65,-131,98,-26,-57,,-124, 
  영업활동현금흐름＜당기＞,-7.8,-17.8,13.5,-4.0,-13.2,, , 
  보통주수정평균발행주식수＜당기＞,"11,975,588","13,537,391","13,848,373","15,778,336","23,071,656","26,693,985", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,299","1,517","2,607","2,571","2,724",,6, 
  매출액＜당기＞,155.6,205.4,361.0,405.7,628.5,, , 
  보통주수정평균발행주식수＜당기＞,"11,975,588","13,537,391","13,848,373","15,778,336","23,071,656","26,693,985", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,159.09,N/A,N/A,,-553.24, 
  보통주수정주가(기말)＜당기＞,"6,420","4,225","5,430","17,100","13,500","13,000", , 
  EPS＜당기＞,-455,-521,34,"-4,743",-573,, , 
펼치기 PBR,4.77,3.44,4.20,8.04,4.49,,-44.12, 
  보통주수정주가(기말)＜당기＞,"6,420","4,225","5,430","17,100","13,500","13,000", , 
  BPS＜당기＞,"1,345","1,228","1,293","2,126","3,004",, , 
펼치기 PCR,-98.03,-32.18,55.57,-670.12,-235.72,,64.82, 
  보통주수정주가(기말)＜당기＞,"6,420","4,225","5,430","17,100","13,500","13,000", , 
  CPS＜당기＞,-65,-131,98,-26,-57,, , 
펼치기 PSR,4.94,2.78,2.08,6.65,4.96,,-25.48, 
  보통주수정주가(기말)＜당기＞,"6,420","4,225","5,430","17,100","13,500","13,000", , 
  SPS＜당기＞,"1,299","1,517","2,607","2,571","2,724",, , 
펼치기 EV/EBITDA,-30.41,-12.19,23.77,102.16,84.10,,-17.68, 
  EV＜당기＞,837.7,571.0,732.3,"3,179.9","3,597.9",, , 
  EBITDA＜당기＞,-27.5,-46.8,30.8,31.1,42.8,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
