항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,559,806,"1,091",365,631,,73, 
  당기순이익(지배)＜당기＞,33.5,48.4,72.6,28.9,50.0,, , 
  보통주수정평균발행주식수＜당기＞,"6,000,000","6,000,823","6,648,187","7,929,338","7,929,338",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"3,126","4,273","6,987","7,093","7,545",,6, 
  자본총계(지배)＜당기＞,187.6,269.2,554.0,556.5,592.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,000,000","6,300,000","7,929,338","7,846,430","7,846,430","7,846,430", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,728,846,852,9,"1,043",,"11,946", 
  영업활동현금흐름＜당기＞,43.7,50.7,56.6,0.7,82.7,, , 
  보통주수정평균발행주식수＜당기＞,"6,000,000","6,000,823","6,648,187","7,929,338","7,929,338",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"2,588","3,305","4,505","4,970","4,922",,-1, 
  매출액＜당기＞,155.3,198.3,299.5,394.1,390.3,, , 
  보통주수정평균발행주식수＜당기＞,"6,000,000","6,000,823","6,648,187","7,929,338","7,929,338",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,,,10.72,29.89,21.73,,-27.31, 
  보통주수정주가(기말)＜당기＞,,,"11,700","10,900","13,700","13,400", , 
  EPS＜당기＞,559,806,"1,091",365,631,, , 
펼치기 PBR,0.00,0.00,1.67,1.54,1.82,,18.16, 
  보통주수정주가(기말)＜당기＞,,,"11,700","10,900","13,700","13,400", , 
  BPS＜당기＞,"3,126","4,273","6,987","7,093","7,545",, , 
펼치기 PCR,,,13.73,"1,258.52",13.13,,-98.96, 
  보통주수정주가(기말)＜당기＞,,,"11,700","10,900","13,700","13,400", , 
  CPS＜당기＞,728,846,852,9,"1,043",, , 
펼치기 PSR,,,2.60,2.19,2.78,,26.92, 
  보통주수정주가(기말)＜당기＞,,,"11,700","10,900","13,700","13,400", , 
  SPS＜당기＞,"2,588","3,305","4,505","4,970","4,922",, , 
펼치기 EV/EBITDA,,,7.87,12.95,11.75,,-9.27, 
  EV＜당기＞,,,590.1,585.5,749.2,, , 
  EBITDA＜당기＞,43.2,57.9,75.0,45.2,63.8,, , 
펼치기 DPS,40,40,200,100,100,,0, 
  현금DPS,40,40,200,100,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,1.71,0.92,0.73,,-0.19, 
  현금배당성향(%),7.16,5.21,21.86,27.14,15.69,,-11.44, 
