항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,56,-23,19,-123,41,,133, 
  당기순이익(지배)＜당기＞,18.0,-9.5,9.2,-64.3,22.5,, , 
  보통주수정평균발행주식수＜당기＞,"32,209,966","41,198,571","47,385,113","52,355,901","54,708,472","58,868,272", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,693,718,786,694,796,,15, 
  자본총계(지배)＜당기＞,284.8,310.8,410.9,363.9,462.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"41,102,826","43,295,186","52,295,851","52,425,773","58,111,908","59,111,908", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,103,19,7,59,69,,15, 
  영업활동현금흐름＜당기＞,33.2,7.7,3.2,31.1,37.5,, , 
  보통주수정평균발행주식수＜당기＞,"32,209,966","41,198,571","47,385,113","52,355,901","54,708,472","58,868,272", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,041",688,785,612,975,,59, 
  매출액＜당기＞,335.2,283.6,371.9,320.4,533.3,, , 
  보통주수정평균발행주식수＜당기＞,"32,209,966","41,198,571","47,385,113","52,355,901","54,708,472","58,868,272", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,14.56,N/A,49.54,N/A,21.62,,469.22, 
  보통주수정주가(기말)＜당기＞,812,721,962,719,888,838, , 
  EPS＜당기＞,56,-23,19,-123,41,, , 
펼치기 PBR,1.17,1.00,1.22,1.04,1.12,,7.64, 
  보통주수정주가(기말)＜당기＞,812,721,962,719,888,838, , 
  BPS＜당기＞,693,718,786,694,796,, , 
펼치기 PCR,7.89,38.57,143.34,12.09,12.96,,7.20, 
  보통주수정주가(기말)＜당기＞,812,721,962,719,888,838, , 
  CPS＜당기＞,103,19,7,59,69,, , 
펼치기 PSR,0.78,1.05,1.23,1.17,0.91,,-22.47, 
  보통주수정주가(기말)＜당기＞,812,721,962,719,888,838, , 
  SPS＜당기＞,"1,041",688,785,612,975,, , 
펼치기 EV/EBITDA,10.88,15.87,16.86,450.81,17.67,,-96.08, 
  EV＜당기＞,404.0,361.9,631.8,511.1,652.1,, , 
  EBITDA＜당기＞,37.1,22.8,37.5,1.1,36.9,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
