항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,279,249,230,561,652,,16, 
  당기순이익(지배)＜당기＞,18.4,16.4,15.1,37.3,49.4,, , 
  보통주수정평균발행주식수＜당기＞,"6,580,080","6,580,080","6,580,080","6,662,114","7,571,721","8,201,166", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,376","2,630","2,858","3,443","4,945",,44, 
  자본총계(지배)＜당기＞,156.4,173.0,188.0,238.9,404.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,580,081","6,580,081","6,580,081","6,938,365","8,178,427","8,168,974", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,233,472,238,565,741,,31, 
  영업활동현금흐름＜당기＞,15.4,31.1,15.7,37.6,56.1,, , 
  보통주수정평균발행주식수＜당기＞,"6,580,080","6,580,080","6,580,080","6,662,114","7,571,721","8,201,166", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,651","1,809","1,969","2,226","2,337",,5, 
  매출액＜당기＞,108.7,119.0,129.6,148.3,176.9,, , 
  보통주수정평균발행주식수＜당기＞,"6,580,080","6,580,080","6,580,080","6,662,114","7,571,721","8,201,166", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,22.75,, , 
  보통주수정주가(기말)＜당기＞,,,,,"14,841","11,800", , 
  EPS＜당기＞,279,249,230,561,652,, , 
펼치기 PBR,0.00,0.00,0.00,0.00,5.96,, , 
  보통주수정주가(기말)＜당기＞,,,,,"14,841","11,800", , 
  BPS＜당기＞,"2,376","2,630","2,858","3,443","4,945",, , 
펼치기 PCR,0.00,0.00,0.00,0.00,20.02,, , 
  보통주수정주가(기말)＜당기＞,,,,,"14,841","11,800", , 
  CPS＜당기＞,233,472,238,565,741,, , 
펼치기 PSR,0.00,0.00,0.00,0.00,6.35,, , 
  보통주수정주가(기말)＜당기＞,,,,,"14,841","11,800", , 
  SPS＜당기＞,"1,651","1,809","1,969","2,226","2,337",, , 
펼치기 EV/EBITDA,,,,,15.56,, , 
  EV＜당기＞,,,,,872.0,, , 
  EBITDA＜당기＞,20.3,19.5,17.3,41.4,56.0,, , 
펼치기 DPS,0,0,151,0,60,, , 
  현금DPS,0,0,151,0,60,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,,0.41,, , 
  현금배당성향(%),0.00,0.00,65.65,0.00,9.98,,9.98, 
