항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,15,-104,4,-85,73,, , 
  당기순이익(지배)＜당기＞,5.5,-38.7,1.5,-35.0,34.6,, , 
  보통주수정평균발행주식수＜당기＞,"36,252,487","37,263,282","40,458,043","41,334,694","47,565,160","48,074,789", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,567,461,558,506,565,, , 
  자본총계(지배)＜당기＞,205.7,173.7,227.2,222.6,266.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"36,252,482","37,682,482","40,724,253","43,999,481","47,048,900","47,048,900", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-44,-104,47,110,123,, , 
  영업활동현금흐름＜당기＞,-15.9,-38.6,19.2,45.3,58.4,, , 
  보통주수정평균발행주식수＜당기＞,"36,252,487","37,263,282","40,458,043","41,334,694","47,565,160","48,074,789", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,842,654,701,613,760,, , 
  매출액＜당기＞,305.4,243.7,283.7,253.2,361.3,, , 
  보통주수정평균발행주식수＜당기＞,"36,252,487","37,263,282","40,458,043","41,334,694","47,565,160","48,074,789", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,103.65,N/A,357.91,N/A,19.87,, , 
  보통주수정주가(기말)＜당기＞,"1,575",848,"1,355","1,165","1,445","1,385", , 
  EPS＜당기＞,15,-104,4,-85,73,, , 
펼치기 PBR,2.77,1.84,2.43,2.30,2.56,, , 
  보통주수정주가(기말)＜당기＞,"1,575",848,"1,355","1,165","1,445","1,385", , 
  BPS＜당기＞,567,461,558,506,565,, , 
펼치기 PCR,-35.86,-8.19,28.63,10.62,11.77,, , 
  보통주수정주가(기말)＜당기＞,"1,575",848,"1,355","1,165","1,445","1,385", , 
  CPS＜당기＞,-44,-104,47,110,123,, , 
펼치기 PSR,1.86,1.30,1.93,1.90,1.90,, , 
  보통주수정주가(기말)＜당기＞,"1,575",848,"1,355","1,165","1,445","1,385", , 
  SPS＜당기＞,842,654,701,613,760,, , 
펼치기 EV/EBITDA,10.59,-15.42,24.96,-20.29,13.96,, , 
  EV＜당기＞,514.0,307.1,491.5,408.1,558.0,, , 
  EBITDA＜당기＞,48.5,-19.9,19.7,-20.1,40.0,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
