항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-8,39,16,-308,-519,,-68, 
  당기순이익(지배)＜당기＞,-4.6,22.3,9.0,-188.7,-320.3,, , 
  보통주수정평균발행주식수＜당기＞,"54,909,861","56,724,753","58,074,904","61,190,399","61,768,816","62,635,375", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,698,760,"1,338","1,024",972,,-5, 
  자본총계(지배)＜당기＞,394.8,431.3,818.9,626.8,608.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"56,534,577","56,774,273","61,190,399","61,190,399","62,627,156","62,637,156", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,63,65,6,-88,-164,,-86, 
  영업활동현금흐름＜당기＞,34.8,37.0,3.6,-54.1,-101.5,, , 
  보통주수정평균발행주식수＜당기＞,"54,909,861","56,724,753","58,074,904","61,190,399","61,768,816","62,635,375", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,496,471,397,273,359,,32, 
  매출액＜당기＞,272.2,267.2,230.7,167.2,222.0,, , 
  보통주수정평균발행주식수＜당기＞,"54,909,861","56,724,753","58,074,904","61,190,399","61,768,816","62,635,375", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,288.41,424.29,N/A,N/A,,-3.27, 
  보통주수정주가(기말)＜당기＞,"22,009","11,362","6,590","10,250","17,800","17,600", , 
  EPS＜당기＞,-8,39,16,-308,-519,, , 
펼치기 PBR,31.51,14.96,4.92,10.01,18.32,,83.10, 
  보통주수정주가(기말)＜당기＞,"22,009","11,362","6,590","10,250","17,800","17,600", , 
  BPS＜당기＞,698,760,"1,338","1,024",972,, , 
펼치기 PCR,347.34,174.21,"1,070.48",-115.89,-108.32,,6.53, 
  보통주수정주가(기말)＜당기＞,"22,009","11,362","6,590","10,250","17,800","17,600", , 
  CPS＜당기＞,63,65,6,-88,-164,, , 
펼치기 PSR,44.41,24.13,16.59,37.51,49.52,,32.00, 
  보통주수정주가(기말)＜당기＞,"22,009","11,362","6,590","10,250","17,800","17,600", , 
  SPS＜당기＞,496,471,397,273,359,, , 
펼치기 EV/EBITDA,"3,672.02",288.64,115.04,-122.23,-141.81,,-16.02, 
  EV＜당기＞,"11,876.7","6,206.2","3,625.5","5,929.7","10,847.5",, , 
  EBITDA＜당기＞,3.2,21.5,31.5,-48.5,-76.5,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
