항목,,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,-479,4,1,,-81, 
  당기순이익(지배)＜당기＞,,,-0.2,0.2,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"43,726","4,748,251","5,710,000","5,710,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 BPS,,,"1,956","1,972","1,972",,0, 
  자본총계(지배)＜당기＞,,,4.1,112.6,112.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"210,000","5,710,000","5,710,000","5,710,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,0, , 
펼치기 CPS,,,-268,-10,18,,286, 
  영업활동현금흐름＜당기＞,,,-0.1,-0.5,1.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"43,726","4,748,251","5,710,000","5,710,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 SPS,,,0,0,0,, , 
  매출액＜당기＞,,,0.0,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"43,726","4,748,251","5,710,000","5,710,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 PER,,,,554.90,"2,942.70",,430.31, 
  보통주수정주가(기말)＜당기＞,,,,"2,030","2,090","2,185", , 
  EPS＜당기＞,,,-479,4,1,, , 
펼치기 PBR,,,0.00,1.03,1.06,,2.92, 
  보통주수정주가(기말)＜당기＞,,,,"2,030","2,090","2,185", , 
  BPS＜당기＞,,,"1,956","1,972","1,972",, , 
펼치기 PCR,,,,-207.99,114.99,,155.29, 
  보통주수정주가(기말)＜당기＞,,,,"2,030","2,090","2,185", , 
  CPS＜당기＞,,,-268,-10,18,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,030","2,090","2,185", , 
  SPS＜당기＞,,,0,0,0,, , 
펼치기 EV/EBITDA,,,,-283.46,-431.01,,-52.05, 
  EV＜당기＞,,,,114.3,118.5,, , 
  EBITDA＜당기＞,,,-0.1,-0.4,-0.3,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,0.00,0.00,,, , 
