항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,-28,6,,122, 
  당기순이익(지배)＜당기＞,,,,-0.2,0.4,, , 
  보통주수정평균발행주식수＜당기＞,,,,"680,191","6,050,000","6,050,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,"1,804","1,811",,0, 
  자본총계(지배)＜당기＞,,,,109.2,109.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"6,050,000","6,050,000","6,050,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,-38,8,,120, 
  영업활동현금흐름＜당기＞,,,,-0.3,0.5,, , 
  보통주수정평균발행주식수＜당기＞,,,,"680,191","6,050,000","6,050,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,0,0,, , 
  매출액＜당기＞,,,,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"680,191","6,050,000","6,050,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,N/A,330.81,,565.59, 
  보통주수정주가(기말)＜당기＞,,,,"2,020","2,115","2,175", , 
  EPS＜당기＞,,,,-28,6,, , 
펼치기 PBR,,,,1.12,1.17,,4.33, 
  보통주수정주가(기말)＜당기＞,,,,"2,020","2,115","2,175", , 
  BPS＜당기＞,,,,"1,804","1,811",, , 
펼치기 PCR,,,,-52.57,279.96,,632.51, 
  보통주수정주가(기말)＜당기＞,,,,"2,020","2,115","2,175", , 
  CPS＜당기＞,,,,-38,8,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,020","2,115","2,175", , 
  SPS＜당기＞,,,,0,0,, , 
펼치기 EV/EBITDA,,,,-407.88,-460.30,,-12.85, 
  EV＜당기＞,,,,112.9,119.1,, , 
  EBITDA＜당기＞,,,,-0.3,-0.3,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,0.00,,, , 
