항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-278,849,"1,032",975,574,,-41, 
  당기순이익(지배)＜당기＞,-11.2,34.2,41.5,48.5,32.3,, , 
  보통주수정평균발행주식수＜당기＞,"4,023,720","4,023,720","4,023,720","4,978,604","5,629,794","5,862,889", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,701,"1,617","2,671","6,551","6,957",,6, 
  자본총계(지배)＜당기＞,28.2,65.1,107.5,364.6,379.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,023,720","4,023,720","4,023,720","5,565,870","5,459,054","5,725,720", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,410,"1,206","1,064",687,"1,045",,52, 
  영업활동현금흐름＜당기＞,16.5,48.5,42.8,34.2,58.8,, , 
  보통주수정평균발행주식수＜당기＞,"4,023,720","4,023,720","4,023,720","4,978,604","5,629,794","5,862,889", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,966","4,772","5,495","4,718","4,646",,-2, 
  매출액＜당기＞,159.6,192.0,221.1,234.9,261.5,, , 
  보통주수정평균발행주식수＜당기＞,"4,023,720","4,023,720","4,023,720","4,978,604","5,629,794","5,862,889", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,19.95,22.58,,13.18, 
  보통주수정주가(기말)＜당기＞,,,,"19,450","12,950","11,650", , 
  EPS＜당기＞,-278,849,"1,032",975,574,, , 
펼치기 PBR,0.00,0.00,0.00,2.97,1.86,,-37.31, 
  보통주수정주가(기말)＜당기＞,,,,"19,450","12,950","11,650", , 
  BPS＜당기＞,701,"1,617","2,671","6,551","6,957",, , 
펼치기 PCR,,,,28.31,12.39,,-56.22, 
  보통주수정주가(기말)＜당기＞,,,,"19,450","12,950","11,650", , 
  CPS＜당기＞,410,"1,206","1,064",687,"1,045",, , 
펼치기 PSR,,,,4.12,2.79,,-32.38, 
  보통주수정주가(기말)＜당기＞,,,,"19,450","12,950","11,650", , 
  SPS＜당기＞,"3,966","4,772","5,495","4,718","4,646",, , 
펼치기 EV/EBITDA,,,,13.56,9.58,,-29.30, 
  EV＜당기＞,,,,779.5,443.0,, , 
  EBITDA＜당기＞,-6.7,39.2,50.3,57.5,46.2,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
