항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,33,3,-27,94,-310,,-431, 
  당기순이익(지배)＜당기＞,10.0,1.0,-9.3,33.1,-110.4,, , 
  보통주수정평균발행주식수＜당기＞,"30,096,726","30,764,618","33,924,723","35,378,756","35,615,566","38,399,721", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,53,81,77,179,458,,156, 
  자본총계(지배)＜당기＞,16.0,26.9,27.0,63.7,163.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"30,096,726","33,106,399","35,070,436","35,615,566","35,615,559","39,219,164", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,33,-5,9,111,125,,12, 
  영업활동현금흐름＜당기＞,10.0,-1.5,3.0,39.2,44.4,, , 
  보통주수정평균발행주식수＜당기＞,"30,096,726","30,764,618","33,924,723","35,378,756","35,615,566","38,399,721", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,171,104,103,359,445,,24, 
  매출액＜당기＞,51.5,32.0,35.0,126.9,158.5,, , 
  보통주수정평균발행주식수＜당기＞,"30,096,726","30,764,618","33,924,723","35,378,756","35,615,566","38,399,721", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"4,880","4,605", , 
  EPS＜당기＞,33,3,-27,94,-310,, , 
펼치기 PBR,,,,,10.66,, , 
  보통주수정주가(기말)＜당기＞,,,,,"4,880","4,605", , 
  BPS＜당기＞,53,81,77,179,458,, , 
펼치기 PCR,,,,,39.18,, , 
  보통주수정주가(기말)＜당기＞,,,,,"4,880","4,605", , 
  CPS＜당기＞,33,-5,9,111,125,, , 
펼치기 PSR,,,,,10.97,, , 
  보통주수정주가(기말)＜당기＞,,,,,"4,880","4,605", , 
  SPS＜당기＞,171,104,103,359,445,, , 
펼치기 EV/EBITDA,,,,,43.17,, , 
  EV＜당기＞,,,,,"1,586.6",, , 
  EBITDA＜당기＞,13.5,4.3,-2.2,41.1,36.7,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,0.00,0.00,,0.00, 
  현금배당성향(%),,,,0.00,,, , 
