항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,512,-529,-443,75,268,, , 
  당기순이익(지배)＜당기＞,101.4,-104.8,-87.7,14.8,53.0,, , 
  보통주수정평균발행주식수＜당기＞,"19,790,916","19,790,916","19,790,916","19,790,916","19,790,916","19,790,916", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,926","6,389","5,976","6,044","6,209",, , 
  자본총계(지배)＜당기＞,"1,343.0","1,239.0","1,158.9","1,172.0","1,204.1",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"19,391,636","19,391,636","19,391,636","19,391,636","19,391,636","19,094,232", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"2,008","2,048","2,330","1,362",-15,, , 
  영업활동현금흐름＜당기＞,397.4,405.2,461.2,269.5,-2.9,, , 
  보통주수정평균발행주식수＜당기＞,"19,790,916","19,790,916","19,790,916","19,790,916","19,790,916","19,790,916", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"12,316","13,262","14,554","14,752","2,539",, , 
  매출액＜당기＞,"2,437.4","2,624.7","2,880.3","2,919.5",502.6,, , 
  보통주수정평균발행주식수＜당기＞,"19,790,916","19,790,916","19,790,916","19,790,916","19,790,916","19,790,916", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,13.71,N/A,N/A,61.78,20.00,, , 
  보통주수정주가(기말)＜당기＞,"7,020","5,540","5,040","4,620","5,360","4,420", , 
  EPS＜당기＞,512,-529,-443,75,268,, , 
펼치기 PBR,1.01,0.87,0.84,0.76,0.86,, , 
  보통주수정주가(기말)＜당기＞,"7,020","5,540","5,040","4,620","5,360","4,420", , 
  BPS＜당기＞,"6,926","6,389","5,976","6,044","6,209",, , 
펼치기 PCR,3.50,2.71,2.16,3.39,-367.09,, , 
  보통주수정주가(기말)＜당기＞,"7,020","5,540","5,040","4,620","5,360","4,420", , 
  CPS＜당기＞,"2,008","2,048","2,330","1,362",-15,, , 
펼치기 PSR,0.57,0.42,0.35,0.31,2.11,, , 
  보통주수정주가(기말)＜당기＞,"7,020","5,540","5,040","4,620","5,360","4,420", , 
  SPS＜당기＞,"12,316","13,262","14,554","14,752","2,539",, , 
펼치기 EV/EBITDA,2.45,1.25,-2.08,-5.25,-9.35,, , 
  EV＜당기＞,992.6,313.8,-426.3,-727.2,-111.5,, , 
  EBITDA＜당기＞,405.8,250.1,205.0,138.4,11.9,, , 
펼치기 DPS,0,20,20,20,20,, , 
  현금DPS,0,20,20,20,20,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.36,0.40,0.43,0.37,, , 
  현금배당성향(%),0.00,-3.70,-4.42,26.21,7.31,, , 
