항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,253,199,416,"1,236","1,223",,-1, 
  당기순이익(지배)＜당기＞,32.9,25.8,54.1,160.7,168.8,, , 
  보통주수정평균발행주식수＜당기＞,"13,000,000","13,000,000","13,000,000","13,000,000","13,806,685","17,330,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,060","1,238","1,536","2,772","7,976",,188, 
  자본총계(지배)＜당기＞,137.8,161.0,199.7,360.4,"1,348.7",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"13,000,000","13,000,000","13,000,000","13,000,000","16,909,118","16,321,639", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,348,208,764,"1,018","1,296",,27, 
  영업활동현금흐름＜당기＞,45.2,27.0,99.3,132.3,179.0,, , 
  보통주수정평균발행주식수＜당기＞,"13,000,000","13,000,000","13,000,000","13,000,000","13,806,685","17,330,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,946","2,343","3,441","4,166","4,257",,2, 
  매출액＜당기＞,253.0,304.5,447.3,541.6,587.7,, , 
  보통주수정평균발행주식수＜당기＞,"13,000,000","13,000,000","13,000,000","13,000,000","13,806,685","17,330,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,11.74,, , 
  보통주수정주가(기말)＜당기＞,,,,,"14,350","13,500", , 
  EPS＜당기＞,253,199,416,"1,236","1,223",, , 
펼치기 PBR,0.00,0.00,0.00,0.00,1.80,, , 
  보통주수정주가(기말)＜당기＞,,,,,"14,350","13,500", , 
  BPS＜당기＞,"1,060","1,238","1,536","2,772","7,976",, , 
펼치기 PCR,,,,,11.07,, , 
  보통주수정주가(기말)＜당기＞,,,,,"14,350","13,500", , 
  CPS＜당기＞,348,208,764,"1,018","1,296",, , 
펼치기 PSR,,,,,3.37,, , 
  보통주수정주가(기말)＜당기＞,,,,,"14,350","13,500", , 
  SPS＜당기＞,"1,946","2,343","3,441","4,166","4,257",, , 
펼치기 EV/EBITDA,,,,,5.41,, , 
  EV＜당기＞,,,,,"1,196.4",, , 
  EBITDA＜당기＞,43.7,33.6,59.4,211.2,221.1,, , 
펼치기 DPS,20,10,5,0,,, , 
  현금DPS,20,10,5,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),7.90,5.03,1.20,0.00,,, , 
