항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,-18,-10,,48, 
  당기순이익(지배)＜당기＞,,,,-0.5,-0.5,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,627,377","5,060,000","5,060,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,"1,920","1,910",,-1, 
  자본총계(지배)＜당기＞,,,,97.1,96.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"5,060,000","5,060,000","5,060,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,-20,-14,,27, 
  영업활동현금흐름＜당기＞,,,,-0.5,-0.7,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,627,377","5,060,000","5,060,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,0,0,, , 
  매출액＜당기＞,,,,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,627,377","5,060,000","5,060,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,N/A,N/A,,-94.96, 
  보통주수정주가(기말)＜당기＞,,,,"2,105","2,120","2,200", , 
  EPS＜당기＞,,,,-18,-10,, , 
펼치기 PBR,,,,1.10,1.11,,1.22, 
  보통주수정주가(기말)＜당기＞,,,,"2,105","2,120","2,200", , 
  BPS＜당기＞,,,,"1,920","1,910",, , 
펼치기 PCR,,,,-106.71,-146.38,,-37.17, 
  보통주수정주가(기말)＜당기＞,,,,"2,105","2,120","2,200", , 
  CPS＜당기＞,,,,-20,-14,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,105","2,120","2,200", , 
  SPS＜당기＞,,,,0,0,, , 
펼치기 EV/EBITDA,,,,-181.59,-123.97,,31.73, 
  EV＜당기＞,,,,103.3,105.1,, , 
  EBITDA＜당기＞,,,,-0.6,-0.8,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,0.00,,, , 
