항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,131,533,179,36,-115,,-419, 
  당기순이익(지배)＜당기＞,6.6,32.9,13.1,2.9,-9.4,, , 
  보통주수정평균발행주식수＜당기＞,"5,000,000","6,163,075","7,293,700","8,145,700","8,145,700","8,145,700", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,313","2,925","4,106","4,141","4,013",,-3, 
  자본총계(지배)＜당기＞,115.7,196.7,304.4,307.0,297.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,000,000","6,725,700","7,412,600","7,412,600","7,412,600",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,475,319,-377,662,234,,-65, 
  영업활동현금흐름＜당기＞,23.8,19.7,-27.5,54.0,19.1,, , 
  보통주수정평균발행주식수＜당기＞,"5,000,000","6,163,075","7,293,700","8,145,700","8,145,700","8,145,700", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"5,407","7,606","4,382","3,816","4,408",,16, 
  매출액＜당기＞,270.3,468.7,319.6,310.9,359.0,, , 
  보통주수정평균발행주식수＜당기＞,"5,000,000","6,163,075","7,293,700","8,145,700","8,145,700","8,145,700", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,37.47,171.35,N/A,,-151.60, 
  보통주수정주가(기말)＜당기＞,,,"6,720","6,200","10,200","8,840", , 
  EPS＜당기＞,131,533,179,36,-115,, , 
펼치기 PBR,0.00,0.00,1.64,1.50,2.54,,69.76, 
  보통주수정주가(기말)＜당기＞,,,"6,720","6,200","10,200","8,840", , 
  BPS＜당기＞,"2,313","2,925","4,106","4,141","4,013",, , 
펼치기 PCR,,,-17.83,9.36,43.61,,365.94, 
  보통주수정주가(기말)＜당기＞,,,"6,720","6,200","10,200","8,840", , 
  CPS＜당기＞,475,319,-377,662,234,, , 
펼치기 PSR,,,1.53,1.62,2.31,,42.44, 
  보통주수정주가(기말)＜당기＞,,,"6,720","6,200","10,200","8,840", , 
  SPS＜당기＞,"5,407","7,606","4,382","3,816","4,408",, , 
펼치기 EV/EBITDA,,,31.10,39.46,102.30,,159.25, 
  EV＜당기＞,,,539.1,457.6,898.2,, , 
  EBITDA＜당기＞,19.3,46.1,17.3,11.6,8.8,, , 
펼치기 DPS,30,20,20,,,, , 
  현금DPS,30,20,20,,,, , 
  주식DPS,0,0,,,,, , 
  현금배당수익률,,,0.30,,,, , 
  현금배당성향(%),22.88,3.26,11.33,0.00,,, , 
