항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-582,"-1,320",-705,179,184,,3, 
  당기순이익(지배)＜당기＞,-43.4,-100.1,-112.1,34.7,35.8,, , 
  보통주수정평균발행주식수＜당기＞,"7,461,354","7,583,930","15,904,477","19,400,000","19,405,589","19,408,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,280","3,301","2,868","3,043","3,228",,6, 
  자본총계(지배)＜당기＞,319.4,294.1,556.5,590.4,626.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,463,009","8,907,981","19,400,000","19,400,000","19,408,000","19,408,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,107,"-1,710",204,360,118,,-67, 
  영업활동현금흐름＜당기＞,8.0,-129.7,32.4,69.8,22.8,, , 
  보통주수정평균발행주식수＜당기＞,"7,461,354","7,583,930","15,904,477","19,400,000","19,405,589","19,408,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"5,381","5,544","2,186",911,878,,-4, 
  매출액＜당기＞,401.5,420.4,347.6,176.7,170.4,, , 
  보통주수정평균발행주식수＜당기＞,"7,461,354","7,583,930","15,904,477","19,400,000","19,405,589","19,408,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,16.85,19.93,,18.28, 
  보통주수정주가(기말)＜당기＞,"5,900","7,120","2,035","3,010","3,675","3,585", , 
  EPS＜당기＞,-582,"-1,320",-705,179,184,, , 
펼치기 PBR,1.38,2.16,0.71,0.99,1.14,,15.10, 
  보통주수정주가(기말)＜당기＞,"5,900","7,120","2,035","3,010","3,675","3,585", , 
  BPS＜당기＞,"4,280","3,301","2,868","3,043","3,228",, , 
펼치기 PCR,55.17,-4.16,9.98,8.37,31.25,,273.46, 
  보통주수정주가(기말)＜당기＞,"5,900","7,120","2,035","3,010","3,675","3,585", , 
  CPS＜당기＞,107,"-1,710",204,360,118,, , 
펼치기 PSR,1.10,1.28,0.93,3.30,4.18,,26.64, 
  보통주수정주가(기말)＜당기＞,"5,900","7,120","2,035","3,010","3,675","3,585", , 
  SPS＜당기＞,"5,381","5,544","2,186",911,878,, , 
펼치기 EV/EBITDA,-37.35,-13.51,-0.65,5.84,16.68,,185.46, 
  EV＜당기＞,401.3,652.8,16.9,79.4,254.0,, , 
  EBITDA＜당기＞,-10.7,-48.3,-25.9,13.6,15.2,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
