항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,235,-624,298,911,-133,,-115, 
  당기순이익(지배)＜당기＞,11.0,-32.4,16.5,50.8,-8.8,, , 
  보통주수정평균발행주식수＜당기＞,"4,131,576","4,628,195","4,992,409","5,049,419","6,614,264","7,337,669", , 
  우선주수정평균발행주식수＜당기＞,"555,554","555,554","555,554","523,678",0,0, , 
펼치기 BPS,"1,933","1,111","1,443","3,566","5,550",,56, 
  자본총계(지배)＜당기＞,94.3,61.6,80.1,209.3,405.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,325,000","4,991,664","4,995,244","5,868,635","7,297,549","7,333,341", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"555,554","555,554","555,554",0,0,0, , 
펼치기 CPS,586,-401,"1,163","1,824",-248,,-114, 
  영업활동현금흐름＜당기＞,27.5,-20.8,64.5,101.7,-16.4,, , 
  보통주수정평균발행주식수＜당기＞,"4,131,576","4,628,195","4,992,409","5,049,419","6,614,264","7,337,669", , 
  우선주수정평균발행주식수＜당기＞,"555,554","555,554","555,554","523,678",0,0, , 
펼치기 SPS,"8,849","6,648","10,952","11,974","9,077",,-24, 
  매출액＜당기＞,414.8,344.6,607.6,667.3,600.4,, , 
  보통주수정평균발행주식수＜당기＞,"4,131,576","4,628,195","4,992,409","5,049,419","6,614,264","7,337,669", , 
  우선주수정평균발행주식수＜당기＞,"555,554","555,554","555,554","523,678",0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"26,500","17,950", , 
  EPS＜당기＞,235,-624,298,911,-133,, , 
펼치기 PBR,0.00,0.00,0.00,0.00,4.77,, , 
  보통주수정주가(기말)＜당기＞,,,,,"26,500","17,950", , 
  BPS＜당기＞,"1,933","1,111","1,443","3,566","5,550",, , 
펼치기 PCR,,,,,-107.05,, , 
  보통주수정주가(기말)＜당기＞,,,,,"26,500","17,950", , 
  CPS＜당기＞,586,-401,"1,163","1,824",-248,, , 
펼치기 PSR,,,,,2.92,, , 
  보통주수정주가(기말)＜당기＞,,,,,"26,500","17,950", , 
  SPS＜당기＞,"8,849","6,648","10,952","11,974","9,077",, , 
펼치기 EV/EBITDA,,,,,-611.19,, , 
  EV＜당기＞,,,,,"1,624.6",, , 
  EBITDA＜당기＞,14.0,-18.7,43.4,67.1,-2.7,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
