항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,57,-119,-457,-484,-59,,88, 
  당기순이익(지배)＜당기＞,4.5,-9.6,-40.5,-43.8,-5.5,, , 
  보통주수정평균발행주식수＜당기＞,"7,797,843","8,076,160","8,617,977","8,875,944","9,318,405","9,686,418", , 
  우선주수정평균발행주식수＜당기＞,0,"15,633","243,194","166,075",0,0, , 
펼치기 BPS,"5,860","6,539","7,607","8,915","12,404",,39, 
  자본총계(지배)＜당기＞,466.1,560.7,683.9,810.7,"1,168.7",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,953,631","8,439,751","8,650,277","9,093,534","9,421,845","9,730,373", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,"135,859","340,901",0,0,0, , 
펼치기 CPS,49,-186,-186,-488,-327,,33, 
  영업활동현금흐름＜당기＞,3.8,-15.0,-16.5,-44.1,-30.5,, , 
  보통주수정평균발행주식수＜당기＞,"7,797,843","8,076,160","8,617,977","8,875,944","9,318,405","9,686,418", , 
  우선주수정평균발행주식수＜당기＞,0,"15,633","243,194","166,075",0,0, , 
펼치기 SPS,687,446,468,459,872,,90, 
  매출액＜당기＞,53.6,36.1,41.5,41.5,81.2,, , 
  보통주수정평균발행주식수＜당기＞,"7,797,843","8,076,160","8,617,977","8,875,944","9,318,405","9,686,418", , 
  우선주수정평균발행주식수＜당기＞,0,"15,633","243,194","166,075",0,0, , 
펼치기 PER,802.93,N/A,N/A,N/A,N/A,,-740.01, 
  보통주수정주가(기말)＜당기＞,"46,000","70,700","42,900","62,300","64,300","21,550", , 
  EPS＜당기＞,57,-119,-457,-484,-59,, , 
펼치기 PBR,7.85,10.81,5.64,6.99,5.18,,-25.82, 
  보통주수정주가(기말)＜당기＞,"46,000","70,700","42,900","62,300","64,300","21,550", , 
  BPS＜당기＞,"5,860","6,539","7,607","8,915","12,404",, , 
펼치기 PCR,945.93,-380.19,-230.55,-127.59,-196.75,,-54.20, 
  보통주수정주가(기말)＜당기＞,"46,000","70,700","42,900","62,300","64,300","21,550", , 
  CPS＜당기＞,49,-186,-186,-488,-327,, , 
펼치기 PSR,66.96,158.60,91.65,135.70,73.78,,-45.63, 
  보통주수정주가(기말)＜당기＞,"46,000","70,700","42,900","62,300","64,300","21,550", , 
  SPS＜당기＞,687,446,468,459,872,, , 
펼치기 EV/EBITDA,"1,156.12",-313.21,-144.71,-170.39,-311.60,,-82.88, 
  EV＜당기＞,"3,408.1","5,806.1","3,343.4","5,278.6","5,599.1",, , 
  EBITDA＜당기＞,2.9,-18.5,-23.1,-31.0,-18.0,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
