항목,,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,-44,-9,-10,,-12, 
  당기순이익(지배)＜당기＞,,,-0.4,-0.4,-0.4,, , 
  보통주수정평균발행주식수＜당기＞,,,"918,630","3,880,000","3,880,000","15,643,210", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 BPS,,,"1,874","1,865","1,854",,-1, 
  자본총계(지배)＜당기＞,,,72.7,72.3,71.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"3,880,000","3,880,000","3,880,000","49,556,296", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,0, , 
펼치기 CPS,,,-59,-4,-5,,-29, 
  영업활동현금흐름＜당기＞,,,-0.5,-0.1,-0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,"918,630","3,880,000","3,880,000","15,643,210", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 SPS,,,0,0,0,, , 
  매출액＜당기＞,,,0.0,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"918,630","3,880,000","3,880,000","15,643,210", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 PER,,,N/A,N/A,N/A,,9.34, 
  보통주수정주가(기말)＜당기＞,,,,"2,075","2,115","2,300", , 
  EPS＜당기＞,,,-44,-9,-10,, , 
펼치기 PBR,,,1.09,1.11,1.14,,2.50, 
  보통주수정주가(기말)＜당기＞,,,,"2,075","2,115","2,300", , 
  BPS＜당기＞,,,"1,874","1,865","1,854",, , 
펼치기 PCR,,,-34.58,-551.28,-435.11,,21.07, 
  보통주수정주가(기말)＜당기＞,,,,"2,075","2,115","2,300", , 
  CPS＜당기＞,,,-59,-4,-5,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,075","2,115","2,300", , 
  SPS＜당기＞,,,0,0,0,, , 
펼치기 EV/EBITDA,,,-126.08,-83.40,-130.75,,-56.76, 
  EV＜당기＞,,,75.6,77.9,80.3,, , 
  EBITDA＜당기＞,,,-0.6,-0.9,-0.6,, , 
펼치기 DPS,,,0,0,0,, , 
  현금DPS,,,0,0,0,, , 
  주식DPS,,,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),,,0.00,0.00,,, , 
