항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,521,791,609,"1,003","1,968","2,143",96,9
  당기순이익(지배)＜당기＞,108.5,174.8,141.6,233.7,464.6,508.0, , 
  보통주수정평균발행주식수＜당기＞,"20,814,047","22,085,225","23,234,595","23,304,923","23,606,699","23,700,595", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,119","2,420","2,797","4,113","5,297","6,631",29,25
  자본총계(지배)＜당기＞,239.4,534.3,595.0,896.6,"1,141.0","1,433.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"21,394,595","22,072,134","21,273,290","21,795,618","21,540,534","21,611,624", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,298,995,508,558,"2,290",,310, 
  영업활동현금흐름＜당기＞,62.0,219.7,118.0,130.1,540.6,424.0, , 
  보통주수정평균발행주식수＜당기＞,"20,814,047","22,085,225","23,234,595","23,304,923","23,606,699","23,700,595", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,976","2,764","2,553","3,992","7,543","8,848",89,17
  매출액＜당기＞,411.2,610.4,593.3,930.3,"1,780.5","2,097.0", , 
  보통주수정평균발행주식수＜당기＞,"20,814,047","22,085,225","23,234,595","23,304,923","23,606,699","23,700,595", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,7.20,12.37,19.84,11.26,9.42,-43.28,-16.27
  보통주수정주가(기말)＜당기＞,,"5,700","7,540","19,900","22,150","20,200", , 
  EPS＜당기＞,521,791,609,"1,003","1,968","2,143", , 
펼치기 PBR,0.00,2.35,2.70,4.84,4.18,3.05,-13.57,-27.14
  보통주수정주가(기말)＜당기＞,,"5,700","7,540","19,900","22,150","20,200", , 
  BPS＜당기＞,"1,119","2,420","2,797","4,113","5,297","6,631", , 
펼치기 PCR,0.00,5.73,14.84,35.64,9.67,,-72.86, 
  보통주수정주가(기말)＜당기＞,,"5,700","7,540","19,900","22,150","20,200", , 
  CPS＜당기＞,298,995,508,558,"2,290",, , 
펼치기 PSR,0.00,2.06,2.95,4.99,2.94,2.28,-41.09,-22.26
  보통주수정주가(기말)＜당기＞,,"5,700","7,540","19,900","22,150","20,200", , 
  SPS＜당기＞,"1,976","2,764","2,553","3,992","7,543","8,848", , 
펼치기 EV/EBITDA,,4.33,8.09,13.54,7.90,,-41.63, 
  EV＜당기＞,,928.0,"1,338.7","4,090.5","4,354.1","3,570.5", , 
  EBITDA＜당기＞,129.6,214.2,165.4,302.2,551.1,, , 
펼치기 DPS,0,200,0,500,"1,200",,140, 
  현금DPS,0,200,0,500,"1,200",, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,3.51,0.00,2.51,5.42,4.95,2.91,-0.47
  현금배당성향(%),0.00,25.26,0.00,46.63,55.64,46.66,9.01,-8.98
