항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,38,48,58,94,-124,,-232, 
  당기순이익(지배)＜당기＞,9.6,11.9,14.5,23.5,-31.0,, , 
  보통주수정평균발행주식수＜당기＞,"25,062,484","25,062,484","25,062,484","25,062,484","25,126,207","27,388,364", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"-63,723",1, , 
펼치기 BPS,268,307,346,442,955,,116, 
  자본총계(지배)＜당기＞,67.1,77.0,86.7,110.9,261.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"25,062,484","25,062,484","25,062,484","25,062,484","27,388,359","27,388,359", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,1,1, , 
펼치기 CPS,112,24,23,95,-22,,-123, 
  영업활동현금흐름＜당기＞,28.0,6.1,5.7,23.8,-5.5,, , 
  보통주수정평균발행주식수＜당기＞,"25,062,484","25,062,484","25,062,484","25,062,484","25,126,207","27,388,364", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"-63,723",1, , 
펼치기 SPS,"1,082","1,200","1,306","1,574","1,902",,21, 
  매출액＜당기＞,271.1,300.7,327.2,394.4,476.8,, , 
  보통주수정평균발행주식수＜당기＞,"25,062,484","25,062,484","25,062,484","25,062,484","25,126,207","27,388,364", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"-63,723",1, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,945","2,845", , 
  EPS＜당기＞,38,48,58,94,-124,, , 
펼치기 PBR,,,,,3.08,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,945","2,845", , 
  BPS＜당기＞,268,307,346,442,955,, , 
펼치기 PCR,,,,,-134.98,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,945","2,845", , 
  CPS＜당기＞,112,24,23,95,-22,, , 
펼치기 PSR,,,,,1.55,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,945","2,845", , 
  SPS＜당기＞,"1,082","1,200","1,306","1,574","1,902",, , 
펼치기 EV/EBITDA,,,,,23.96,, , 
  EV＜당기＞,,,,,742.0,, , 
  EBITDA＜당기＞,18.1,23.2,27.3,33.5,31.0,, , 
펼치기 DPS,8,0,0,0,,, , 
  현금DPS,8,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,0.00,0.00,,, , 
  현금배당성향(%),,,0.00,0.00,,, , 
