항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,33,161,157,-13,116,260,989,124
  당기순이익(지배)＜당기＞,11.3,64.7,65.3,-5.5,51.4,117.0, , 
  보통주수정평균발행주식수＜당기＞,"34,650,987","40,123,200","41,634,755","41,804,669","44,252,463","44,946,655", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,75,272,382,678,836,,23, 
  자본총계(지배)＜당기＞,26.0,113.2,159.1,275.8,360.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"34,650,984","41,634,751","41,634,751","40,653,770","43,113,770","43,113,770", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,66,138,376,247,481,,95, 
  영업활동현금흐름＜당기＞,23.0,55.3,156.5,103.3,212.7,, , 
  보통주수정평균발행주식수＜당기＞,"34,650,987","40,123,200","41,634,755","41,804,669","44,252,463","44,946,655", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,735,808,"1,314","1,433","1,795","2,225",25,24
  매출액＜당기＞,254.7,324.3,547.1,599.0,794.4,"1,000.0", , 
  보통주수정평균발행주식수＜당기＞,"34,650,987","40,123,200","41,634,755","41,804,669","44,252,463","44,946,655", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,N/A,33.29,10.81,125.87,-67.52
  보통주수정주가(기말)＜당기＞,,,,"1,680","3,865","2,815", , 
  EPS＜당기＞,33,161,157,-13,116,260, , 
펼치기 PBR,,,,2.48,4.62,,86.68, 
  보통주수정주가(기말)＜당기＞,,,,"1,680","3,865","2,815", , 
  BPS＜당기＞,75,272,382,678,836,, , 
펼치기 PCR,,,,6.80,8.04,,18.22, 
  보통주수정주가(기말)＜당기＞,,,,"1,680","3,865","2,815", , 
  CPS＜당기＞,66,138,376,247,481,, , 
펼치기 PSR,,,,1.17,2.15,1.27,83.61,-41.23
  보통주수정주가(기말)＜당기＞,,,,"1,680","3,865","2,815", , 
  SPS＜당기＞,735,808,"1,314","1,433","1,795","2,225", , 
펼치기 EV/EBITDA,,,,5.96,9.02,,51.33, 
  EV＜당기＞,,,,753.6,"1,677.3","1,104.2", , 
  EBITDA＜당기＞,22.1,56.8,137.8,126.4,186.0,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,0.00,0.00,,, , 
  현금배당성향(%),,,0.00,0.00,,, , 
