항목,"2016/12
(IFRS별도)","2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,"2021/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-1,247","-1,708","-3,687","-8,290","-1,045",,87, 
  당기순이익(지배)＜당기＞,-36.4,-53.1,-118.3,-363.5,-121.9,, , 
  보통주수정평균발행주식수＜당기＞,"2,917,020","3,108,366","3,209,595","4,384,406","11,663,708","26,893,305", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,959","3,368","5,649",475,"1,612",,239, 
  자본총계(지배)＜당기＞,141.9,99.2,204.3,29.8,384.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"2,862,132","2,946,132","3,617,201","6,282,671","23,824,746","30,890,085", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-331,-350,"-1,156","-1,298",-592,,54, 
  영업활동현금흐름＜당기＞,-9.7,-10.9,-37.1,-56.9,-69.0,, , 
  보통주수정평균발행주식수＜당기＞,"2,917,020","3,108,366","3,209,595","4,384,406","11,663,708","26,893,305", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"5,061","4,797","4,145","2,964",705,,-76, 
  매출액＜당기＞,147.6,149.1,133.0,130.0,82.2,, , 
  보통주수정평균발행주식수＜당기＞,"2,917,020","3,108,366","3,209,595","4,384,406","11,663,708","26,893,305", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,-377.52, 
  보통주수정주가(기말)＜당기＞,"11,925","10,500","27,750","5,550","3,340","1,855", , 
  EPS＜당기＞,"-1,247","-1,708","-3,687","-8,290","-1,045",, , 
펼치기 PBR,2.40,3.12,4.91,11.68,2.07,,-82.26, 
  보통주수정주가(기말)＜당기＞,"11,925","10,500","27,750","5,550","3,340","1,855", , 
  BPS＜당기＞,"4,959","3,368","5,649",475,"1,612",, , 
펼치기 PCR,-36.00,-29.99,-24.00,-4.28,-5.64,,-32.04, 
  보통주수정주가(기말)＜당기＞,"11,925","10,500","27,750","5,550","3,340","1,855", , 
  CPS＜당기＞,-331,-350,"-1,156","-1,298",-592,, , 
펼치기 PSR,2.36,2.19,6.69,1.87,4.74,,153.06, 
  보통주수정주가(기말)＜당기＞,"11,925","10,500","27,750","5,550","3,340","1,855", , 
  SPS＜당기＞,"5,061","4,797","4,145","2,964",705,, , 
펼치기 EV/EBITDA,-16.94,-380.01,-22.70,-10.43,-18.79,,-80.18, 
  EV＜당기＞,372.3,352.0,985.5,512.0,576.4,, , 
  EBITDA＜당기＞,-22.0,-0.9,-43.4,-49.1,-30.7,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,0.00,,0.00, 
