항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,253,70,52,-42,36,,186, 
  당기순이익(지배)＜당기＞,158.5,43.5,32.6,-26.3,22.5,, , 
  보통주수정평균발행주식수＜당기＞,"62,600,000","62,600,000","62,600,000","62,600,000","62,600,000","75,255,027", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,226","2,255","2,254","2,156","2,198",,2, 
  자본총계(지배)＜당기＞,"1,389.2","1,407.1","1,406.6","1,345.3","1,371.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"62,400,000","62,400,000","62,400,000","62,400,000","62,400,000","87,363,447", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,41,-829,-2,-550,408,,174, 
  영업활동현금흐름＜당기＞,25.4,-518.7,-1.5,-344.0,255.3,, , 
  보통주수정평균발행주식수＜당기＞,"62,600,000","62,600,000","62,600,000","62,600,000","62,600,000","75,255,027", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,640","1,094","1,256",748,814,,9, 
  매출액＜당기＞,"1,026.9",685.1,786.5,468.0,509.3,, , 
  보통주수정평균발행주식수＜당기＞,"62,600,000","62,600,000","62,600,000","62,600,000","62,600,000","75,255,027", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,21.33,43.29,74.52,N/A,168.74,,309.32, 
  보통주수정주가(기말)＜당기＞,"5,400","3,010","3,880","3,385","6,060","5,210", , 
  EPS＜당기＞,253,70,52,-42,36,, , 
펼치기 PBR,2.43,1.33,1.72,1.57,2.76,,75.61, 
  보통주수정주가(기말)＜당기＞,"5,400","3,010","3,880","3,385","6,060","5,210", , 
  BPS＜당기＞,"2,226","2,255","2,254","2,156","2,198",, , 
펼치기 PCR,132.87,-3.63,"-1,629.51",-6.16,14.86,,341.27, 
  보통주수정주가(기말)＜당기＞,"5,400","3,010","3,880","3,385","6,060","5,210", , 
  CPS＜당기＞,41,-829,-2,-550,408,, , 
펼치기 PSR,3.29,2.75,3.09,4.53,7.45,,64.49, 
  보통주수정주가(기말)＜당기＞,"5,400","3,010","3,880","3,385","6,060","5,210", , 
  SPS＜당기＞,"1,640","1,094","1,256",748,814,, , 
펼치기 EV/EBITDA,3.34,2.80,3.11,6.71,15.83,,136.10, 
  EV＜당기＞,"2,291.0","1,274.5","1,947.2","1,956.5","3,424.3",, , 
  EBITDA＜당기＞,686.0,455.6,626.1,291.8,216.3,, , 
펼치기 DPS,50,50,50,0,0,, , 
  현금DPS,50,50,50,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.93,1.66,1.29,0.00,0.00,,0.00, 
  현금배당성향(%),19.69,71.69,95.72,0.00,,, , 
