항목,,,,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,1,, , 
  당기순이익(지배)＜당기＞,,,,,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"1,925,096","6,310,000", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 BPS,,,,,"1,860",, , 
  자본총계(지배)＜당기＞,,,,,117.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,0,"6,310,000","6,310,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,0,0,0, , 
펼치기 CPS,,,,,-5,, , 
  영업활동현금흐름＜당기＞,,,,,-0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"1,925,096","6,310,000", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 SPS,,,,,0,, , 
  매출액＜당기＞,,,,,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"1,925,096","6,310,000", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 PER,,,,,"3,809.98",, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,240","2,190", , 
  EPS＜당기＞,,,,,1,, , 
펼치기 PBR,,,,,1.20,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,240","2,190", , 
  BPS＜당기＞,,,,,"1,860",, , 
펼치기 PCR,,,,,-437.40,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,240","2,190", , 
  CPS＜당기＞,,,,,-5,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,240","2,190", , 
  SPS＜당기＞,,,,,0,, , 
펼치기 EV/EBITDA,,,,,"-1,477.47",, , 
  EV＜당기＞,,,,,152.0,, , 
  EBITDA＜당기＞,,,,,-0.1,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,,,, , 
