항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,456,318,, , 
  당기순이익(지배)＜당기＞,,,,104.3,108.7,, , 
  보통주수정평균발행주식수＜당기＞,,,,"22,887,900","34,191,720","34,191,720", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,996,"1,257",, , 
  자본총계(지배)＜당기＞,,,,340.4,429.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"34,180,801","34,137,120","34,137,120", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,719,411,, , 
  영업활동현금흐름＜당기＞,,,,164.6,140.7,, , 
  보통주수정평균발행주식수＜당기＞,,,,"22,887,900","34,191,720","34,191,720", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,"3,850","3,786",, , 
  매출액＜당기＞,,,,881.2,"1,294.6",, , 
  보통주수정평균발행주식수＜당기＞,,,,"22,887,900","34,191,720","34,191,720", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,13.61,14.89,, , 
  보통주수정주가(기말)＜당기＞,,,,"6,200","4,735","5,320", , 
  EPS＜당기＞,,,,456,318,, , 
펼치기 PBR,,,,6.23,3.77,, , 
  보통주수정주가(기말)＜당기＞,,,,"6,200","4,735","5,320", , 
  BPS＜당기＞,,,,996,"1,257",, , 
펼치기 PCR,,,,8.62,11.51,, , 
  보통주수정주가(기말)＜당기＞,,,,"6,200","4,735","5,320", , 
  CPS＜당기＞,,,,719,411,, , 
펼치기 PSR,,,,1.61,1.25,, , 
  보통주수정주가(기말)＜당기＞,,,,"6,200","4,735","5,320", , 
  SPS＜당기＞,,,,"3,850","3,786",, , 
펼치기 EV/EBITDA,,,,13.46,9.78,, , 
  EV＜당기＞,,,,"2,272.9","1,915.6",, , 
  EBITDA＜당기＞,,,,168.9,195.8,, , 
펼치기 DPS,,,,75,75,, , 
  현금DPS,,,,75,75,, , 
  주식DPS,,,,0,,, , 
  현금배당수익률,,,,1.21,1.58,, , 
  현금배당성향(%),,,,24.56,23.55,, , 
