항목,2017/12,"2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-2,313",-504,464,"-1,740","-1,665",,4, 
  당기순이익(지배)＜당기＞,-290.9,-63.4,58.3,-218.9,-209.5,, , 
  보통주수정평균발행주식수＜당기＞,"12,577,506","12,577,506","12,577,506","12,577,506","12,577,506","12,577,506", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"15,112","13,736","14,026","11,876","10,961",,-8, 
  자본총계(지배)＜당기＞,"1,649.9","1,499.7","1,531.4","1,296.6","1,196.7",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,918,058","10,918,058","10,918,058","10,918,058","10,918,058",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,150,24,143,-6,129,,"2,363", 
  영업활동현금흐름＜당기＞,18.9,3.1,18.0,-0.7,16.3,, , 
  보통주수정평균발행주식수＜당기＞,"12,577,506","12,577,506","12,577,506","12,577,506","12,577,506","12,577,506", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,325,250,736,406,617,,52, 
  매출액＜당기＞,40.8,31.4,92.5,51.0,77.6,, , 
  보통주수정평균발행주식수＜당기＞,"12,577,506","12,577,506","12,577,506","12,577,506","12,577,506","12,577,506", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,6.77,N/A,N/A,,1.86, 
  보통주수정주가(기말)＜당기＞,"4,640","2,900","3,140","4,435","4,165","4,155", , 
  EPS＜당기＞,"-2,313",-504,464,"-1,740","-1,665",, , 
펼치기 PBR,0.31,0.21,0.22,0.37,0.38,,1.75, 
  보통주수정주가(기말)＜당기＞,"4,640","2,900","3,140","4,435","4,165","4,155", , 
  BPS＜당기＞,"15,112","13,736","14,026","11,876","10,961",, , 
펼치기 PCR,30.85,118.83,21.96,-776.14,32.21,,104.15, 
  보통주수정주가(기말)＜당기＞,"4,640","2,900","3,140","4,435","4,165","4,155", , 
  CPS＜당기＞,150,24,143,-6,129,, , 
펼치기 PSR,14.30,11.60,4.27,10.93,6.75,,-38.22, 
  보통주수정주가(기말)＜당기＞,"4,640","2,900","3,140","4,435","4,165","4,155", , 
  SPS＜당기＞,325,250,736,406,617,, , 
펼치기 EV/EBITDA,-7.43,27.95,42.66,-3.67,-18.16,,-395.37, 
  EV＜당기＞,800.2,484.6,468.6,741.5,"2,474.8",, , 
  EBITDA＜당기＞,-107.7,17.3,11.0,-202.3,-136.3,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
