항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,301,-166,-64,123,24,, , 
  당기순이익(지배)＜당기＞,41.8,-23.1,-8.9,17.1,3.3,, , 
  보통주수정평균발행주식수＜당기＞,"13,879,521","13,879,521","13,879,521","13,879,521","13,879,521","13,879,521", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,997","1,872","1,759","1,920","1,931",, , 
  자본총계(지배)＜당기＞,277.1,251.9,236.7,262.3,263.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"13,879,521","13,459,521","13,459,521","13,662,476","13,662,476","13,662,476", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,892,-458,337,-171,-597,, , 
  영업활동현금흐름＜당기＞,123.7,-63.5,46.8,-23.8,-82.8,, , 
  보통주수정평균발행주식수＜당기＞,"13,879,521","13,879,521","13,879,521","13,879,521","13,879,521","13,879,521", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,336","4,592","4,248","3,789","4,284",, , 
  매출액＜당기＞,463.0,637.4,589.7,525.9,594.6,, , 
  보통주수정평균발행주식수＜당기＞,"13,879,521","13,879,521","13,879,521","13,879,521","13,879,521","13,879,521", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,7.04,N/A,N/A,23.26,141.08,, , 
  보통주수정주가(기말)＜당기＞,"2,120","2,300","3,000","2,860","3,340","2,595", , 
  EPS＜당기＞,301,-166,-64,123,24,, , 
펼치기 PBR,1.06,1.23,1.71,1.49,1.73,, , 
  보통주수정주가(기말)＜당기＞,"2,120","2,300","3,000","2,860","3,340","2,595", , 
  BPS＜당기＞,"1,997","1,872","1,759","1,920","1,931",, , 
펼치기 PCR,2.38,-5.03,8.90,-16.69,-5.60,, , 
  보통주수정주가(기말)＜당기＞,"2,120","2,300","3,000","2,860","3,340","2,595", , 
  CPS＜당기＞,892,-458,337,-171,-597,, , 
펼치기 PSR,0.64,0.50,0.71,0.75,0.78,, , 
  보통주수정주가(기말)＜당기＞,"2,120","2,300","3,000","2,860","3,340","2,595", , 
  SPS＜당기＞,"3,336","4,592","4,248","3,789","4,284",, , 
펼치기 EV/EBITDA,-16.38,47.11,108.41,-5.00,31.82,, , 
  EV＜당기＞,190.1,287.1,361.2,202.9,401.7,, , 
  EBITDA＜당기＞,-11.6,6.1,3.3,-40.6,12.6,, , 
펼치기 DPS,0,0,0,30,,, , 
  현금DPS,0,0,0,30,,, , 
  주식DPS,0,0,0,,,, , 
  현금배당수익률,0.00,0.00,0.00,1.05,,, , 
  현금배당성향(%),0.00,0.00,0.00,24.02,,, , 
