항목,"2017/12
(IFRS별도)",2018/12,"2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,326,313,"2,716",741,"1,331",,80, 
  당기순이익(지배)＜당기＞,117.2,112.7,977.8,266.7,479.2,, , 
  보통주수정평균발행주식수＜당기＞,"36,000,000","36,000,000","36,000,000","36,000,000","36,000,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"4,102","4,281","6,913","7,757","8,862",,14, 
  자본총계(지배)＜당기＞,"1,471.3","1,501.3","2,423.9","2,681.2","3,190.2",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"35,865,418","35,065,418","35,065,418","34,566,318","36,000,000","36,000,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,559,411,271,799,"-1,215",,-252, 
  영업활동현금흐름＜당기＞,201.2,147.9,97.7,287.5,-437.2,, , 
  보통주수정평균발행주식수＜당기＞,"36,000,000","36,000,000","36,000,000","36,000,000","36,000,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"3,022","3,437","4,469","4,274","98,247",,"2,199", 
  매출액＜당기＞,"1,088.0","1,237.4","1,608.8","1,538.7","35,368.9",, , 
  보통주수정평균발행주식수＜당기＞,"36,000,000","36,000,000","36,000,000","36,000,000","36,000,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,12.77,10.26,1.22,9.08,11.01,,21.15, 
  보통주수정주가(기말)＜당기＞,"4,160","3,210","3,320","6,730","14,650","18,800", , 
  EPS＜당기＞,326,313,"2,716",741,"1,331",, , 
펼치기 PBR,1.01,0.75,0.48,0.87,1.65,,90.54, 
  보통주수정주가(기말)＜당기＞,"4,160","3,210","3,320","6,730","14,650","18,800", , 
  BPS＜당기＞,"4,102","4,281","6,913","7,757","8,862",, , 
펼치기 PCR,7.44,7.81,12.23,8.43,-12.06,,-243.13, 
  보통주수정주가(기말)＜당기＞,"4,160","3,210","3,320","6,730","14,650","18,800", , 
  CPS＜당기＞,559,411,271,799,"-1,215",, , 
펼치기 PSR,1.38,0.93,0.74,1.57,0.15,,-90.53, 
  보통주수정주가(기말)＜당기＞,"4,160","3,210","3,320","6,730","14,650","18,800", , 
  SPS＜당기＞,"3,022","3,437","4,469","4,274","98,247",, , 
펼치기 EV/EBITDA,7.90,7.09,10.44,43.75,4.35,,-90.05, 
  EV＜당기＞,"1,756.4","1,568.7","2,575.6","12,589.8","17,250.0",, , 
  EBITDA＜당기＞,222.4,221.3,246.8,287.8,"3,963.9",, , 
펼치기 DPS,100,100,110,110,120,,9, 
  현금DPS,100,100,110,110,120,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,2.40,3.12,3.31,1.63,0.82,,-0.82, 
  현금배당성향(%),30.59,31.12,3.94,14.26,9.02,,-5.24, 
