항목,"2017/03
(IFRS별도)",2018/03,2019/03,"2020/03
(IFRS별도)","2021/03
(IFRS별도)","2022/03(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,286","1,183","1,195","1,206","1,816",,51, 
  당기순이익(지배)＜당기＞,60.9,56.1,56.7,64.7,116.0,, , 
  보통주수정평균발행주식수＜당기＞,"4,740,000","4,740,000","4,740,000","5,365,880","6,388,000","6,388,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"9,044","10,091","10,378","10,902","12,686",,16, 
  자본총계(지배)＜당기＞,428.7,478.3,491.9,696.4,810.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,740,000","4,740,000","4,740,000","6,388,000","6,388,000","6,388,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"2,237","1,339",653,"-14,753","11,440",,178, 
  영업활동현금흐름＜당기＞,106.0,63.5,31.0,-791.6,730.8,, , 
  보통주수정평균발행주식수＜당기＞,"4,740,000","4,740,000","4,740,000","5,365,880","6,388,000","6,388,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"19,644","24,085","35,100","40,681","25,046",,-38, 
  매출액＜당기＞,931.1,"1,141.6","1,663.7","2,182.9","1,600.0",, , 
  보통주수정평균발행주식수＜당기＞,"4,740,000","4,740,000","4,740,000","5,365,880","6,388,000","6,388,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,4.50,5.28,,17.14, 
  보통주수정주가(기말)＜당기＞,,,,"5,430","9,580","12,450", , 
  EPS＜당기＞,"1,286","1,183","1,195","1,206","1,816",, , 
펼치기 PBR,0.00,0.00,0.00,0.50,0.76,,51.61, 
  보통주수정주가(기말)＜당기＞,,,,"5,430","9,580","12,450", , 
  BPS＜당기＞,"9,044","10,091","10,378","10,902","12,686",, , 
펼치기 PCR,,,,-0.37,0.84,,327.52, 
  보통주수정주가(기말)＜당기＞,,,,"5,430","9,580","12,450", , 
  CPS＜당기＞,"2,237","1,339",653,"-14,753","11,440",, , 
펼치기 PSR,,,,0.13,0.38,,186.55, 
  보통주수정주가(기말)＜당기＞,,,,"5,430","9,580","12,450", , 
  SPS＜당기＞,"19,644","24,085","35,100","40,681","25,046",, , 
펼치기 EV/EBITDA,,,,-0.07,0.92,,"1,421.95", 
  EV＜당기＞,,,,-8.0,169.0,, , 
  EBITDA＜당기＞,88.5,87.5,85.8,114.6,183.5,, , 
펼치기 DPS,370,250,250,300,450,,50, 
  현금DPS,370,250,250,300,450,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,5.52,4.70,,-0.83, 
  현금배당성향(%),28.77,21.13,20.91,29.63,24.78,,-4.84, 
