항목,,,,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,-3,, , 
  당기순이익(지배)＜당기＞,,,,,-0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"2,515,096","22,804,660", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 BPS,,,,,"1,823",, , 
  자본총계(지배)＜당기＞,,,,,136.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,0,"7,460,000","40,213,222", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,0,0,0, , 
펼치기 CPS,,,,,-13,, , 
  영업활동현금흐름＜당기＞,,,,,-0.3,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"2,515,096","22,804,660", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 SPS,,,,,0,, , 
  매출액＜당기＞,,,,,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"2,515,096","22,804,660", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,305","2,420", , 
  EPS＜당기＞,,,,,-3,, , 
펼치기 PBR,,,,,1.26,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,305","2,420", , 
  BPS＜당기＞,,,,,"1,823",, , 
펼치기 PCR,,,,,-184.02,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,305","2,420", , 
  CPS＜당기＞,,,,,-13,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,305","2,420", , 
  SPS＜당기＞,,,,,0,, , 
펼치기 EV/EBITDA,,,,,-579.36,, , 
  EV＜당기＞,,,,,183.2,, , 
  EBITDA＜당기＞,,,,,-0.3,, , 
펼치기 DPS,,,,,0,, , 
  현금DPS,,,,,0,, , 
  주식DPS,,,,,0,, , 
  현금배당수익률,,,,,0.00,, , 
  현금배당성향(%),,,,,,, , 
